sentence,monetary_topic
"More generally , where monetary policy is constrained , as in individual euro area members ,",
fiscal and structural policies,
to facilitate relative price adjustments should take priority .,
"Further actions could include longer term LTROs possibly targeted to SMEs , and further rate cuts , including mildly negative deposit rates , to support demand and reduce fragmentation",
"Along with addressing sovereign tensions , removing uncertainty about the resilience of banks",
is the top priority for the euro area,
"Also , a tightening of the fiscal stance may help monetary and debt management ,",
while a monetary tightening will contribute to a worsening of the fiscal position,
"In Brazil , an appropriate macroeconomic policy mix and restored",
policy frameworks are imperative for a turnaround in confidence and investment,
once major political uncertainties are resolved,
The overall pace of policy adjustment and removal of financial support will depend on the strength of recovery in private demand in each country and enduring financial stability,
Monetary policy stances are generally aligned with IMF recommendations,
In response to negative growth surprises in the euro area flexibility within the fiscal governance framework could and should be used,
where possible to avoid triggering additional consolidation efforts,
"To unwind policies in an orderly manner and reassure markets , policy makers will need to develop and communicate",
"plans that achieve timely and smooth exits for extraordinary monetary , fiscal , and financial sector interventions , while being careful to avoid a premature withdrawal of support",
that could set back the healing process and the incipient recovery,
"The Federal Open Market Committee 's FOMC decision should remain , with the first increase in the federal funds rate waiting",
until continued strength in the labor market is accompanied by firm signs of inflation rising steadily toward the Federal Reserve 's 2 percent inflation objective,
Monetary policy in emerging economies has to balance the need to support demand against the risk of exacerbating capital outflows or deteriorating credit quality,
"Where monetary policy operates near or at the lower bound , fiscal policy has an important role to play",
Stricter regulation of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,
Vulnerabilities in corporate financial positions and public bank asset quality could threaten financial stability,
if left unaddressed,
The strategy for fiscal consolidation should be outlined and communicated now,
"In contrast , where inflation is still below central bank targets and output gaps remain negative , monetary policy should stay supportive Japan , euro area and available",1
fiscal space should be used actively to provide further additional support,
"Strengthening transparency , especially in communicating policy objectives and enhancing data quality , will be key to minimize spillovers and financial volatility",
"An effective monetary policy communication strategy will remain essential , also in light of differences between market and FOMC expectations about the path of interest rates",
"Where monetary policy is becoming over burdened , domestic policy coordination can help to make macroeconomic support effective",
Financial sector reforms also need to be urgently completed,
One of the key lessons from experiences of similar crises is,
"that withdrawing policy stimulus too early can be very costly ,",
particularly if the financial system remains vulnerable and prone to adverse shocks,
"In emerging economies , monetary policy may need to respond more sensitively to inflation shocks from higher commodity prices due to higher mainly for food prices , less so for energy , less inflation expectations , and economies",1
"that are operating closer to , or above , capacity .",
"While the recent cabinet decision on the fiscal and growth strategies is welcome , more concrete and decisive",
measures should be formulated in the near future,
Stricter treatment of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,
"The unwinding of medium and asset purchases is likely to be more gradual , and new instruments may be required to liquidity in a manner",
that balances the risks to economic growth and price stability,
"This suggests that the timing of exits will be country specific ,",
although coordination on some specific fronts is desirable,
and the monetary union,
including by agreeing on a common policy response to the refugee surge and securing external borders,
"In Japan , the recently announced additional fiscal stimulus is set to boost demand along with expansionary monetary policy , but it also provides an opportunity to accelerate the impact of structural reforms , in particular in the labor market",
"The Federal Open Market Committee 's FOMC decision should remain and with little evidence of meaningful wage and price pressures so far ,",
the normalization is expected to be gradual,
Priority should be given to fiscal consolidation particularly in countries,
"where current account deficits are widening , with monetary policy remaining the first line of defense",
"Addressing corporate and bank vulnerabilities is a priority in many countries , including in several emerging economies and the euro area ,",
where the structural overcapacity of the financial sector elevates operation costs and reduces profitability,
The focus of macroeconomic policies should remain on addressing vulnerabilities and rebuilding policy buffers,
"Foreign exchange swap and forward markets have also improved , as a result of the Fed 's Term Auction Facility TAF , central bank currency swap arrangements , and effectively unlimited funding from the ECB up to 1 year",
which has reduced European bank demand for dollar funding,
"The policy response would be to lower interest rates , thus reducing incentives for inflows , and to tighten fiscal policy particularly",1
when capital inflows are driven by fiscal expansion thus reducing currency appreciation pressures,
"Finally , lack of credibility , notably where inflation is above target , complicates the monetary policy response",
as exchange rate depreciation could feed into inflation expectations and lead to a worsening inflation outlook .,
"In many emerging economies , macroeconomic policy space to support growth is more limited ,",
"with inflation still above target in some economies , and fiscal positions weaker than desirable in others",
"To summarize , responding to an unprecedented global crisis and its aftermath will require coherent and determined policy actions , orderly exits , and new frameworks to address the challenges facing the global economy",
"By contrast , most emerging economies are projected to maintain neutral or somewhat contractionary monetary stances , suitably contributing to bring or keep inflation in line with central bank targets",
