sentence,fiscal_stance,Hirose
"In the United States, the proposed American Jobs Act would provide needed near-term support",0,
"However, parallel and credible medium-term fiscal adjustment plan that raises revenues and contains the growth of entitlement spending remains essential",-1,
"Japan’s near-term fiscal stance is appropriate given the need to rebuild after the earthquake, but a comprehensive and ambitious plan to put public debt on a sustainable footing over the medium-term remains essential",-1,
Economies facing adverse private funding conditions—such as those with IMFand EU-supported programs—have little choice but to press ahead with current consolidation plans.,0,
"A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output, it would also support external adjustment, while at the same time having positive spillovers to other euro area economies where there is still cyclical slack",1,
"Where fiscal space is available, fiscal policy can help foster innovation and structural change in labor, product, and services markets, including through demand support for certain reforms",0,
"In the United States, monetary policy should continue to gradually normalize and remain data dependent, and plans for the Fed’s balance sheet should be well-communicated",0,
"Countries with limited fiscal space can provide support in a budget- neutral manner (for example, by using savings from unemployment benefit reforms to improve job training programs)",0,
"Fiscal policy can also ease the adjustment of those adversely affected by technological change or increasing economic integration (for example, job counseling and retraining, apprenticeship programs for youth, support for life-long learning, measures in areas such as housing, credit, and infrastructure to increase mobility)",0,
"fiscal policy should ensure that the ratio of debt to GDP is on a downward path, while supporting the longer-term potential of the economy",-1,
It can protect the vulnerable through better-targeted social safety nets financed by well- designed progressive taxes,0,
"In contrast, where inflation is still below central bank targets and output gaps remain negative, monetary policy should stay supportive (Japan, euro area) and available fiscal space should be used actively to provide further additional support",1,
"In countries where fiscal adjustment is needed to avoid destabilizing debt dynamics and rebuild policy buffers, consolidation is appropriate and should be supported by growth-friendly measures (for example, in Italy)",-1,
"Where tradeoffs occur, fiscal policy can play a mitigating role",0,
"Ongoing IMF work and country experiences also suggest that the use of digital technology holds the potential for better targeted and efficient fiscal policy, ensuring a reduction in spending leakages and greater transparency.",0,
"To secure a strong and durable recovery, policies need a decisive upgrade",0,
Raising both actual and potential output through a combination of demand support and structural reforms remains a key policy objective,0,
Fiscal consolidation should remain growth friendly and be anchored in credible medium-term plans supported by well-designed fiscal frameworks,-1,
"Fiscal policy should be more supportive where conditions allow, even as credible plans to reduce public debt ratios over the longer run are put in place",1,
"Helping China in its difficult transition will also reduce tail risks and facilitate stronger, more durable global growth",0,
"In advanced economies, accommodative monetary policy remains essential",0,
Joint efforts by deficit and surplus economies to rebalance global demand would reduce excess external imbalances while sustaining growth,0,
"The aim should be to put debt on a downward path, based on realistic assumptions and identifying specific revenue and expenditure measures.",0,
"Many emerging economies have limited scope for monetary and fiscal policy to support growth, with inflation still above target in some economies, and fiscal positions weaker than desirable in others",0,
"Where feasible, exchange rate flexibility should serve as a shock absorber, with a temporary role for both intervention and capital flow management measures when market conditions turn disorderly",0,
"Fiscal policy should be more supportive where conditions allow, even as credible medium-term budget plans are put in place",1,
Collective effort is also required to further enhance global safety nets and strengthen the International Monetary System,0,
Public debt levels are at historic highs,0,
"In the euro area, countries should adhere to their commitments under EU fiscal rules, but those with fiscal space, notably Germany and the Netherlands, could do more to encourage growth, especially through much-needed public infrastructure investment and supporting structural reforms",1,
"In Japan, the announced medium-term fiscal consolidation plan provides a useful anchor to guide fiscal policy",-1,
It should also protect the most vulnerable,0,
"In the United States, the priority remains to agree on a medium-term fiscal consolidation plan to prepare for rising aging-related costs, including higher tax revenue",-1,
"The recent Congressional passage of a two-year budget, including a suspended debt ceiling, is a critical step to support the economy",0,
"These measures will create policy room to support balance sheet repair, growth, and job creation during this period of heightened vulnerability.",0,
"Sufficient near-term fiscal adjustment has begun in most advanced economies, including in the euro area",0,
"Depending on circumstances, measures could include entitlement reforms including new health care and pension saving measures, and tax system reforms to boost fiscal revenue",-1,
"Overdoing fiscal adjustment in the short run will undermine activity, diminish popular support for adjustment, and further threaten market confidence",0,
"Fiscal consolidation, structured and paced to avoid a collapse in demand and ensure debt sustainability, must continue in many euro area countries, and laying out credible medium-term adjustment plans remains an urgent priority in key advanced economies",-1,
"Countries with fiscal space, especially those with very low funding costs, should consider slowing fiscal adjustment in 2012, while maintaining their commitment to a credible medium-term consolidation plan",1,
"Automatic stabilizers should be allowed to operate freely, provided funding for higher deficits can be secured",1,
Euro area members benefiting from a financial assistance program should stick to the agreed consolidation efforts and should fully implement the required structural reforms,-1,
"Policymakers should increase efforts to formulate and implement credible consolidation plans, particularly in the United States and Japan",-1,
There is however significant cross-country variation in the calculations,0,
"To avoid an overly abrupt global adjustment at the global level, policies will need to be considered across the G-20 when the time for tightening comes.",0,
"However, these targets are relatively far in the future",0,
"Overall fiscal deficits remain larger in 2014 (even though the output gap is projected to largely close), compared with 2007, by around 21⁄2 percentage points of GDP for the advanced countries and 2 percentage points for the emerging markets",0,
"Some are exploring new fiscal rules, such as Germany, which is considering a new constitutional rule for structural balance limits at the federal and state levels",0,
"For the emerging markets, revenue gains in some countries offset sustained lowered commodity revenues (from exceptionally high 2007 levels) in others",0,
"The strategies should include reforming entitlements, fiscal consolidation, and other structural fiscal reforms: Pension and health care reforms will be critical to address key sources of fiscal pressures over the next few decades",-1,
"The publication of ten-year fiscal forecasts by the United States is a welcome step, including by increasing transparency",0,
Most G-20 countries are counting on a revival of tax revenues and a reversal of discretionary spending initiatives when conditions improve (Table 6),0,
and governments should ensure adequate recovery of the value of financial assets acquired during the crisis,0,
"The later the fiscal adjustment starts, the larger will be the required primary balance to return to the pre-crisis debt-levels",0,
"However, it will be difficult to resolve fiscal problems simply by relying on improvements in cyclical revenue, as some of the revenue base may have been lost permanently (for example, from elevated profits in the financial sector or real estate)",0,
"Against these trends, a natural question is the extent of fiscal adjustment that would be required to return debt-to-GDP ratios to pre-crisis levels",0,
"Finally, demographic pressures continue to build, with consequences for health and pension outlays and medium- and long-term fiscal sustainability",0,
Fiscal policy should be complemented by growth-enhancing structural reforms,1,
Increases in primary expenditures offset modest projected savings on interest payments,0,
"The technical and political groundwork for feasible reform solutions should proceed now, particularly with respect to health reforms, where difficult and complex choices are involved",0,
"Others are considering less formal, non-binding targets for public debt or deficits that would demand significant sustained adjustment",0,
"Given the WEO baseline for growth and the debt trajectory, and assuming that adjustment begins in 2011 and takes place over a 10-year period, illustrative calculations suggests that the required primary surplus-to-GDP ratio is 3.percent, requiring an average adjustment of 5.percent of GDP",0,
"Delaying the start of adjustment by even one year raises the required primary surplus over the ten-year period to 4.percent of GDP, and the required average adjustment to 5.percent of GDP",0,
"With fiscal pressures, governments will need to do “more with the same,” if not “more with (perhaps significantly) less.” Improved fiscal policy frameworks— rules, responsibility laws, and councils—could play a role to bolster credibility, depending on country specifics",-1,
Staff estimates that the net present value of future entitlement spending increases is ten times larger than the fiscal costs of the current crisis,0,
Other elements will be important: tax policies should avoid excessive tax competition and a race to the bottom,0,
"Like financial systems, public finances will need to adjust over the medium-term",0,
"however, projections for growth and interest rates appear optimistic",0,
Action is all the more critical in that progress in one key pillar of a strategy to address these pressures— reducing budget deficits and lowering public debt levels in the short term to make room for future entitlement spending increases—has been undermined by the crisis,-1,
"Fiscal deficits will need to be consolidated to bring public finance back on a sustainable trajectory, particularly with looming demographic pressures on spending",-1,
"For emerging economies, the projected medium-term debt path is more benign, owing to higher growth",0,
"For the advanced countries, this reflects higher interest payments in 2014 (by nearly 2 percentage points of GDP, on average), as well as higher primary expenditures",0,
"Most of this increase occurs in the advanced countries, which would see a rise in their debt ratio of 36 percentage points over this period, with more than 4/5 of the increase accounted for by the impact of automatic stabilizers, weaker asset prices, fiscal stimulus and financial sector support measures, and higher interest payments (Table 4)",0,
"Where consolidation policies have been mooted, they have focused on increases in taxation of fuel and on making income taxes more progressive, and in some cases on limiting growth of current spending or cutting capital expenditure",0,
"Not renewing stimulus will reduce deficits, but not public debt",0,
"Also, gains from “unwinding” fiscal and financial support operations are uncertain, as in some countries significant political capital will need to be expended to ensure that stimulus measures do not become permanent",0,
