sentence,monetary_topic
A quicker transition period for the mutualization of national contributions to the single resolution fund and a clearer decision on a common backstop and its timing are required to adequately break links,0.0
Structural reforms are needed to raise potential output in both advanced and emerging economies,0.0
Financial policies need to secure stability and support recovery,0.0
"With shrinking fiscal buffers , many commodity exporters need to develop new growth models and tackle fiscal adjustment , including through reduced but more efficient public expenditures , stronger fiscal frameworks , and mobilizing new sources of revenues",0.0
"Given falling confidence and activity as well as inflation expectations , monetary policy in advanced economies should remain very accommodative",1.0
This can be achieved,0.0
even while central banks begin to withdraw the emergency support provided to banks and financial markets,0.0
"There is increasing divergence in the monetary policy stances between advanced and emerging economies , reflecting macroeconomic developments ,",0.0
while financial sector support has been extended in some European countries,0.0
"In the United States , while the recent bipartisan fiscal agreements was an important positive step , ",0.0
further fiscal efforts are needed to stabilize the ratio in the,0.0
as interest rates gradually increase and the demographic transition intensifies,0.0
Fiscal positions should generally aim at rebuilding policy space,0.0
"In countries where fiscal adjustment is needed to avoid destabilizing debt dynamics and rebuild policy buffers , ",0.0
"consolidation is appropriate and should be supported by measures for example , in Italy",0.0
fiscal policy should ensure,0.0
"that the ratio of debt to GDP is on a downward path , while supporting the potential of the economy",0.0
"In India , more efforts are needed to continue reducing stubbornly high inflation and the large fiscal deficit",0.0
Policymakers should stand ready to act more aggressively,0.0
should the impact of financial market turbulence and higher uncertainty threaten to materially weaken the global outlook,0.0
which in some cases may require changes to regulatory and legal structures is essential to limit financial risks and reduce the risk of monetary policy tightening not warranted by the cyclical position,0.0
"Specifically : In the United States , the main challenge is to reach the appropriate speed of monetary policy normalization ,",1.0
which is made difficult by uncertainties about the cyclical position and monetary transmission,0.0
"This includes paying interest on excess reserves ,",0.0
even while central bank balance sheets continue to provide support to some markets .,0.0
"In the United Kingdom , still accommodative monetary policy has been combined with macro prudential tools to contain financial stability risks",0.0
"There is scope for better cooperation on unwinding UMP , especially through wider central bank discussions of exit plans",0.0
"The government should pursue fiscal consolidation by addressing rigidities and unsustainable mandates on the spending side , including in the social security system , and through tax measures and discretionary spending cuts to bolster fiscal results in the short run",0.0
"In some emerging economies for example , Brazil , emerging Asia , owing to rapidly closing output gaps or concerns about credit quality , monetary accommodation is already being removed or will need be to be removed relatively soon",1.0
"Insufficient progress with repair and reform is weighing on credit , and slowing the normalization of monetary and fiscal policies , with adverse spillovers on emerging economies",0.0
Monetary policy tightening may also be necessary,1.0
should inflation expectations worsen .,0.0
Prospects for an uneven recovery points to an asynchronous unwinding of monetary stimulus in advanced economies,0.0
"Monetary policy must remain the first line of defense ,",0.0
although this line is becoming increasingly thin in most advanced economies,0.0
"In sequencing an exit from policies , fiscal policy should generally take priority",0.0
Collective efforts to enhance the global safety net and strengthen the resilience of the International Monetary System IMS should be renewed,0.0
The appropriate course for policy to balance fostering growth and managing vulnerabilities will be,0.0
"Brazil continues to face a considerable inflation challenge , with inflation exceeding the upper limit of the inflation target band ,",0.0
which requires further monetary tightening,1.0
A number of distortions keep saving high in key surplus countries,0.0
Central banks will need to devise plans to exit from unconventional measures to ensure a smooth return to private intermediation and to forestall concerns,0.0
that inflation could rise rapidly,0.0
"A number of these economies , notably in Asia , are already enjoying relatively vigorous rebounds of activity",0.0
"With fiscal stimulus gradually receding , a premature tightening of monetary policy could undercut the recovery",1.0
Monetary authorities need to prevent such rises from generating successive increases,0.0
Collective effort is also required to further enhance global safety nets and strengthen the International Monetary System,0.0
banking system stability is also a priority,0.0
"Hence , the program should be extended",0.0
if there is not sufficient improvement in inflation consistent with meeting price stability objectives,0.0
Monetary and fiscal policies can help to reduce inflows,0.0
"if the central bank has exhausted the sterilization possibilities and risks losing monetary control , or does not want to accumulate further reserves assuming",0.0
that further exchange rate appreciation would not be appropriate,0.0
This will require making tangible progress toward a genuine economic monetary union starting with a banking union with greater fiscal integration,0.0
"ample liquidity and easy monetary policy , mainly in advanced economies",0.0
"Accommodative monetary policies should be accompanied by efforts to strengthen balance sheets and credit supply , and by active macroprudential measures",0.0
that address financial stability risks,0.0
"For some countries , using fiscal policy to contain",0.0
demand pressures may be preferable,0.0
if tighter monetary conditions risk exacerbating pressures from capital inflows,0.0
"Thus , the first challenge is",0.0
when to raise interest rates and the second is,0.0
how to withdraw excess liquidity,0.0
"In countries where fiscal adjustment is needed ,",0.0
"consolidation should be gradual and as as possible ,",0.0
while structural reforms should prioritize measures,0.0
that could have a beneficial impact on public finances over the,0.0
This would help pass through of monetary accommodation,0.0
"In the euro area , restoring the transmission channel requires addressing counterparty risk in the interbank market and the redenomination risk",0.0
Dealing with commodity price rises poses a particular challenge,0.0
"In emerging economies , managing vulnerabilities and rebuilding resilience are high priorities in a context of tightening external financial conditions",0.0
"A successful resolution of the current crisis will thus require a cohesive , comprehensive , and cooperative package of policies across the",0.0
"More generally , where monetary policy is constrained , as in individual euro area members ,",0.0
fiscal and structural policies,0.0
to facilitate relative price adjustments should take priority .,0.0
"Further actions could include longer term LTROs possibly targeted to SMEs , and further rate cuts , including mildly negative deposit rates , to support demand and reduce fragmentation",0.0
"Along with addressing sovereign tensions , removing uncertainty about the resilience of banks",0.0
is the top priority for the euro area,0.0
"Also , a tightening of the fiscal stance may help monetary and debt management ,",0.0
while a monetary tightening will contribute to a worsening of the fiscal position,0.0
"In Brazil , an appropriate macroeconomic policy mix and restored",0.0
policy frameworks are imperative for a turnaround in confidence and investment,0.0
once major political uncertainties are resolved,0.0
The overall pace of policy adjustment and removal of financial support will depend on the strength of recovery in private demand in each country and enduring financial stability,0.0
Monetary policy stances are generally aligned with IMF recommendations,0.0
In response to negative growth surprises in the euro area flexibility within the fiscal governance framework could and should be used,0.0
where possible to avoid triggering additional consolidation efforts,0.0
"To unwind policies in an orderly manner and reassure markets , policy makers will need to develop and communicate",0.0
"plans that achieve timely and smooth exits for extraordinary monetary , fiscal , and financial sector interventions , while being careful to avoid a premature withdrawal of support",0.0
that could set back the healing process and the incipient recovery,0.0
"The Federal Open Market Committee 's FOMC decision should remain , with the first increase in the federal funds rate waiting",0.0
until continued strength in the labor market is accompanied by firm signs of inflation rising steadily toward the Federal Reserve 's 2 percent inflation objective,0.0
Monetary policy in emerging economies has to balance the need to support demand against the risk of exacerbating capital outflows or deteriorating credit quality,0.0
"Where monetary policy operates near or at the lower bound , fiscal policy has an important role to play",0.0
Stricter regulation of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,0.0
Vulnerabilities in corporate financial positions and public bank asset quality could threaten financial stability,0.0
if left unaddressed,0.0
The strategy for fiscal consolidation should be outlined and communicated now,0.0
"In contrast , where inflation is still below central bank targets and output gaps remain negative , monetary policy should stay supportive Japan , euro area and available",1.0
fiscal space should be used actively to provide further additional support,0.0
"Strengthening transparency , especially in communicating policy objectives and enhancing data quality , will be key to minimize spillovers and financial volatility",0.0
"An effective monetary policy communication strategy will remain essential , also in light of differences between market and FOMC expectations about the path of interest rates",0.0
"Where monetary policy is becoming over burdened , domestic policy coordination can help to make macroeconomic support effective",0.0
Financial sector reforms also need to be urgently completed,0.0
One of the key lessons from experiences of similar crises is,0.0
"that withdrawing policy stimulus too early can be very costly ,",0.0
particularly if the financial system remains vulnerable and prone to adverse shocks,0.0
"In emerging economies , monetary policy may need to respond more sensitively to inflation shocks from higher commodity prices due to higher mainly for food prices , less so for energy , less inflation expectations , and economies",1.0
"that are operating closer to , or above , capacity .",0.0
"While the recent cabinet decision on the fiscal and growth strategies is welcome , more concrete and decisive",0.0
measures should be formulated in the near future,0.0
Stricter treatment of nonperforming loans and measures to improve insolvency and foreclosure procedures are a priority in this regard,0.0
"The unwinding of medium and asset purchases is likely to be more gradual , and new instruments may be required to liquidity in a manner",0.0
that balances the risks to economic growth and price stability,0.0
"This suggests that the timing of exits will be country specific ,",0.0
although coordination on some specific fronts is desirable,0.0
and the monetary union,0.0
including by agreeing on a common policy response to the refugee surge and securing external borders,0.0
"In Japan , the recently announced additional fiscal stimulus is set to boost demand along with expansionary monetary policy , but it also provides an opportunity to accelerate the impact of structural reforms , in particular in the labor market",0.0
"The Federal Open Market Committee 's FOMC decision should remain and with little evidence of meaningful wage and price pressures so far ,",0.0
the normalization is expected to be gradual,0.0
Priority should be given to fiscal consolidation particularly in countries,0.0
"where current account deficits are widening , with monetary policy remaining the first line of defense",0.0
"Addressing corporate and bank vulnerabilities is a priority in many countries , including in several emerging economies and the euro area ,",0.0
where the structural overcapacity of the financial sector elevates operation costs and reduces profitability,0.0
The focus of macroeconomic policies should remain on addressing vulnerabilities and rebuilding policy buffers,0.0
"Foreign exchange swap and forward markets have also improved , as a result of the Fed 's Term Auction Facility TAF , central bank currency swap arrangements , and effectively unlimited funding from the ECB up to 1 year",0.0
which has reduced European bank demand for dollar funding,0.0
"The policy response would be to lower interest rates , thus reducing incentives for inflows , and to tighten fiscal policy particularly",1.0
when capital inflows are driven by fiscal expansion thus reducing currency appreciation pressures,0.0
"Finally , lack of credibility , notably where inflation is above target , complicates the monetary policy response",0.0
as exchange rate depreciation could feed into inflation expectations and lead to a worsening inflation outlook .,0.0
"In many emerging economies , macroeconomic policy space to support growth is more limited ,",0.0
"with inflation still above target in some economies , and fiscal positions weaker than desirable in others",0.0
"To summarize , responding to an unprecedented global crisis and its aftermath will require coherent and determined policy actions , orderly exits , and new frameworks to address the challenges facing the global economy",0.0
"By contrast , most emerging economies are projected to maintain neutral or somewhat contractionary monetary stances , suitably contributing to bring or keep inflation in line with central bank targets",0.0
