,sentence,subsentences
319,"However, if the economy is at risk of overheating and there are inflationary pressures, reducing interest rates is not an attractive policy option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.","However , if the economy is at risk of overheating and there are inflationary pressures , reducing interest rates is not an attractive policy option , while both political considerations and implementation lags may limit the scope for fiscal consolidation ."
320,"In particular, to ensure that the transmission mechanism for monetary policy remains effective, efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households","In particular , to ensure that the transmission mechanism for monetary policy remains effective , efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households "
321,The IMF prepared detailed country-by-county recommendations along these lines on the occasion of the Finance Ministers and Central Bank Governors’ Meetings in July 2016,The IMF prepared detailed recommendations along these lines on the occasion of the Finance Ministers and Central Bank Governors ' Meetings in July 2016 
322,Monetary policy has remained highly accommodative in many economies,Monetary policy has remained highly accommodative in many economies 
323,"Finally, new policy frameworks—compatible with a needed shift in the pattern of global demand—would facilitate adjustment to a more sustainable and resilient configuration for global growth in the years ahead.","Finally , new policy frameworks compatible with a needed shift in the pattern of global demand would facilitate adjustment to a more sustainable and resilient configuration for global growth in the years ahead ."
324,"The Federal Reserve, Bank of England, and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps if needed","The Federal Reserve , Bank of England , and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps if needed "
325,"However, if low growth persists and monetary policy options are depleted, the flexibility in the current fiscal framework may need to be used to respond in these circumstances","However , if low growth persists and monetary policy options are depleted , the flexibility in the current fiscal framework may need to be used to respond in these circumstances "
326,"Emerging G-20 economies need to be nimble in dealing with potentially adverse spillovers from advanced economies, and continue to strengthen macroeconomic policy frameworks","Emerging G-20 economies need to be nimble in dealing with potentially adverse spillovers from advanced economies , and continue to strengthen macroeconomic policy frameworks "
327,"This is needed not only to halt and ultimately reverse the large rise in public debt ratios, but also to help create room for policy maneuver to support private demand","This is needed not only to halt and ultimately reverse the large rise in public debt ratios , but also to help create room for policy maneuver to support private demand "
328,"To safeguard the current growth momentum, the macroeconomic policy mix should be adjusted to changing circumstances","To safeguard the current growth momentum , the macroeconomic policy mix should be adjusted to changing circumstances "
329,5 A combination of structural reforms and more expansionary demand policies in surplus economies can also help reduce global external imbalances,5 A combination of structural reforms and more expansionary demand policies in surplus economies can also help reduce global external imbalances 
330,"Further actions, including structural reforms, and cooperation are needed across the membership to lay the foundations for stronger and more balanced medium-term growth","Further actions , including structural reforms , and cooperation are needed across the membership to lay the foundations for stronger and more balanced medium-term growth "
331,Accelerated financial sector restructuring and reform should thus be top priorities,Accelerated financial sector restructuring and reform should thus be top priorities 
332,3 Provision of guarantees on bank funding and expanded liquidity facilities have helped reduce tail risks that the liquidity shock could have triggered cascading insolvencies in the financial sector,3 Provision of guarantees on bank funding and expanded liquidity facilities have helped reduce tail risks that the liquidity shock could have triggered cascading insolvencies in the financial sector 
333,"However, the unbalanced recovery across economies suggests that challenges faced by central banks differ, with well-crafted communication continuing to play a critical role, given that protracted monetary support has raised financial stability concerns: In the United States, with growth expected to increase above trend in the remainder of 2014 and 2015, the main policy issue is the appropriate speed of monetary policy normalization","However , the unbalanced recovery across economies suggests that challenges faced by central banks differ , with well-crafted communication continuing to play a critical role , given that protracted monetary support has raised financial stability concerns : In the United States , with growth expected to increase above trend in the remainder of 2014 and 2015 , the main policy issue is the appropriate speed of monetary policy normalization "
334,"While macroeconomic policies are but one determinant of the current account, they have contributed to maintain excess imbalances, which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries (see IMF 2017 External Sector Report)","While macroeconomic policies are but one determinant of the current account , they have contributed to maintain excess imbalances , which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries see IMF 2017 External Sector Report "
335,"It will also make systemic institutions more resilient, help contain pro-cyclical asset price and credit dynamics, and cushion the consequences of liquidity squeezes if volatility spikes","It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion the consequences of liquidity squeezes if volatility spikes "
336,"Excess-deficit economies, on the other hand, need to implement structural reforms to improve competitiveness, which may include wage moderation in line with productivity growth","Excess-deficit economies , on the other hand , need to implement structural reforms to improve competitiveness , which may include wage moderation in line with productivity growth "
337,"Exchange rate flexibility can usefully cushion the impact of adverse external shocks, provided that the effects of currency depreciations on balance sheets and domestic inflation rates are contained","Exchange rate flexibility can usefully cushion the impact of adverse external shocks , provided that the effects of currency depreciations on balance sheets and domestic inflation rates are contained "
338,The three requirements for a more resilient recovery are sustained but gradual adjustment,The three requirements for a more resilient recovery are sustained but gradual adjustment 
339,"Elsewhere, however, in some other countries where debt levels are relatively low, monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening.","Elsewhere , however , in some other countries where debt levels are relatively low , monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening ."
340,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair 
341,"Room for monetary easing is also more limited where strong credit expansion continues, or where currencies are undervalued","Room for monetary easing is also more limited where strong credit expansion continues , or where currencies are undervalued "
342,"In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending (for example, Saudi Arabia)","In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending for example , Saudi Arabia "
343,"At the same time, strong prudential oversight and supervision of the financial system is essential to address emerging vulnerabilities in both the bank and non-bank financial sector owing to ultra low interest rates","At the same time , strong prudential oversight and supervision of the financial system is essential to address emerging vulnerabilities in both the bank and non-bank financial sector owing to ultra low interest rates "
344,"Given a path for fiscal policies, monetary policy can be set to achieve a desired level of overall stimulus, tightening as needed to counter inflationary risks and maintain price stability","Given a path for fiscal policies , monetary policy can be set to achieve a desired level of overall stimulus , tightening as needed to counter inflationary risks and maintain price stability "
345,"The timing, pace, and sequence of exiting from supportive policies will vary by country, depending on how robust the recovery of private demand as well as financial conditions","The timing , pace , and sequence of exiting from supportive policies will vary by country , depending on how robust the recovery of private demand as well as financial conditions "
346,"With multiple interdependent factors holding back growth, policymakers have to work all necessary levers— structural policies (including to promote financial stability and trade), fiscal policies, and monetary policy","With multiple interdependent factors holding back growth , policymakers have to work all necessary levers structural policies including to promote financial stability and trade , fiscal policies , and monetary policy "
347,"In Japan, accelerating structural reforms is critical to boost confidence and contribute to higher domestic demand and favorable wage-price dynamics","In Japan , accelerating structural reforms is critical to boost confidence and contribute to higher domestic demand and favorable wage-price dynamics "
348,"When risk sentiment changes, having stronger macroeconomic fundamentals as well as the policy space and credibility to react have proven to be critical to reduce volatility and negative spillovers (see Annex)","When risk sentiment changes , having stronger macroeconomic fundamentals as well as the policy space and credibility to react have proven to be critical to reduce volatility and negative spillovers see Annex "
349,"In advanced economies, accommodative monetary policy remains essential","In advanced economies , accommodative monetary policy remains essential "
350,"For oil exporters, the optimal policy response to the sharp decline in prices will depend on the buffers accumulated during the years of high oil revenue and exchange rate regimes","For oil exporters , the optimal policy response to the sharp decline in prices will depend on the buffers accumulated during the years of high oil revenue and exchange rate regimes "
351,Maintaining unconventional monetary policy measures does not necessarily constrain increases in policy rates,Maintaining unconventional monetary policy measures does not necessarily constrain increases in policy rates 
352,"This task requires a faster recognition of non-performing assets, stronger bank capital buffers, and better corporate debt restructuring mechanisms","This task requires a faster recognition of non-performing assets , stronger bank capital buffers , and better corporate debt restructuring mechanisms "
353,Policies need to accelerate the rebalancing of demand from public to private sources in advanced economies and from external deficit to surplus economies,Policies need to accelerate the rebalancing of demand from public to private sources in advanced economies and from external deficit to surplus economies 
354,"In this context, the Bank of Japan should stand ready for further easing","In this context , the Bank of Japan should stand ready for further easing "
355,"However, reserve stockpiles have been reduced, leaving less room for maneuver","However , reserve stockpiles have been reduced , leaving less room for maneuver "
356,Appropriate sequencing is important for an orderly withdrawal,Appropriate sequencing is important for an orderly withdrawal 
357,Reinforcing the growth momentum requires the right mix of demand support and supply reforms,Reinforcing the growth momentum requires the right mix of demand support and supply reforms 
358,"This would help reduce the burden on monetary and fiscal policy to support the recovery, and minimize the real consequences of deleveraging","This would help reduce the burden on monetary and fiscal policy to support the recovery , and minimize the real consequences of deleveraging "
359,"Though there has been progress on banking system repair, the pace is too slow","Though there has been progress on banking system repair , the pace is too slow "
360,"Policy requirements differ vastly among emerging economies, but many can afford to stay on hold or ease if downside risks materialize given the receding inflation pressures","Policy requirements differ vastly among emerging economies ,"
361,"Policy requirements differ vastly among emerging economies, but many can afford to stay on hold or ease if downside risks materialize given the receding inflation pressures",many can afford to stay on hold or ease if downside risks materialize given the receding inflation pressures 
362,"From an external perspective, however, there is concern that quantitative easing in the United States could result in a flood of capital","From an external perspective , however , there is concern that quantitative easing in the United States could result in a flood of capital "
363,These economies should also consider greater emphasis on fiscal tightening.,These economies should also consider greater emphasis on fiscal tightening .
364,Maintaining an expansionary fiscal stance has a clear and direct impact on the build-up of debt,Maintaining an expansionary fiscal stance has a clear and direct impact on the build-up of debt 
365,The boost to demand from lower oil prices is thus welcome,The boost to demand from lower oil prices is thus welcome 
366,"More policy ambition and cooperation are needed to achieve the G-20’s shared objectives of strong, sustainable, and balanced growth","More policy ambition and cooperation are needed to achieve the G-20 's shared objectives of strong , sustainable , and balanced growth "
367,"The ECB’s monetary policy should be highly accommodative, consistent with its mandate of ensuring price stability","The ECB 's monetary policy should be highly accommodative , consistent with its mandate of ensuring price stability "
368,"To avoid the risk of a hard landing and lower their exposure to capital flow reversals, emerging economies should rebuild policy buffers","To avoid the risk of a hard landing and lower their exposure to capital flow reversals , emerging economies should rebuild policy buffers "
369,"The Fed has signaled that interest rates are likely to remain low for an extended period, while other major central banks have indicated that monetary policy would only be tightened once the macroeconomic environment improves and the outlook for inflation picks up","The Fed has signaled that interest rates are likely to remain low for an extended period , while other major central banks have indicated that monetary policy would only be tightened once the macroeconomic environment improves"
370,"The Fed has signaled that interest rates are likely to remain low for an extended period, while other major central banks have indicated that monetary policy would only be tightened once the macroeconomic environment improves and the outlook for inflation picks up",the outlook for inflation picks up 
371,"Importantly, the type, scale, and timing of adjustment should not be the same, but depend on each country’s own circumstances, or efforts may become self-defeating","Importantly , the type , scale , and timing of adjustment should not be the same , but depend on each country 's own circumstances ,"
372,"Importantly, the type, scale, and timing of adjustment should not be the same, but depend on each country’s own circumstances, or efforts may become self-defeating",efforts may become self-defeating 
373,"Maintaining an accommodative monetary policy stance, which can be reversed quickly, has few obvious direct downsides","Maintaining an accommodative monetary policy stance , which can be reversed quickly , has few obvious direct downsides "
374,"Second, additional short-term demand support from fiscal policies where output gaps are negative can accelerate the benefits of certain structural reforms, such as measures that raise labor supply, which are particularly relevant for European G-20 members but also several emerging economies (see next section)","Second , additional short-term demand support from fiscal policies where output gaps are negative can accelerate the benefits of certain structural reforms , such as measures that raise labor supply , which are particularly relevant for European G-20 members but also several emerging economies see next section "
375,Fears of high inflation appear overstated—central banks have the tools needed to mop up liquidity and tighten their policy stance should inflation expectations unexpectedly rise,Fears of high inflation appear overstated  central banks have the tools needed to mop up liquidity and tighten their policy stance should inflation expectations unexpectedly rise 
376,Financial stability risks related to a prolonged period of low interest rates bring macro- prudential policies to the forefront,Financial stability risks related to a prolonged period of low interest rates bring macro - prudential policies to the forefront 
377,"Authorities should aim to protect the poor and vulnerable groups through targeted social safety nets, but avoid policies that seek to insulate domestic markets from high world prices (for example, export bans or subsidies), which dampens the supply response and amplifies global price volatility","Authorities should aim to protect the poor and vulnerable groups through targeted social safety nets , but avoid policies that seek to insulate domestic markets from high world prices for example , export bans or subsidies , which dampens the supply response and amplifies global price volatility "
378,"At a global level, there is a pressing need to complete and implement the regulatory reform agenda","At a global level , there is a pressing need to complete and implement the regulatory reform agenda "
379,"In the United States, the main near-term policy question is the appropriate timing and pace of monetary policy normalization","In the United States , the main near-term policy question is the appropriate timing and pace of monetary policy normalization "
380,Repair and reform of financial systems—critical to the normalization of credit conditions in several countries and to prevent contagion—needs to be accelerated,Repair and reform of financial systems critical to the normalization of credit conditions in several countries and to prevent contagion needs to be accelerated 
381,Policymakers in Brazil should begin unwinding monetary stimulus as the recovery proceeds to ensure inflation expectations remain well anchored,Policymakers in Brazil should begin unwinding monetary stimulus as the recovery proceeds to ensure inflation expectations remain well anchored 
382,"Importantly, countries that do implement strong recapitalization programs should not be left to fall into a downward spiral for lack of adequate external support","Importantly , countries that do implement strong recapitalization programs should not be left to fall into a downward spiral for lack of adequate external support "
383,"For these measures to succeed, they need to be supported by growth and fiscal reforms","For these measures to succeed , they need to be supported by growth and fiscal reforms "
384,"The Fund’s financial stress indices for the major advanced economies have all declined sharply, with some falling below pre-Lehman levels, although they remain significantly elevated relative to levels prior to the crisis","The Fund 's financial stress indices for the major advanced economies have all declined sharply , with some falling below pre-Lehman levels , although they remain significantly elevated relative to levels prior to the crisis "
385,"Accommodative monetary policies remain essential in many advanced economies, given still sizable output gaps and low inflation","Accommodative monetary policies remain essential in many advanced economies , given still sizable output gaps and low inflation "
386,"More specifically: In India, while external vulnerabilities have moderated and inflation has fallen faster than expected, persistently high inflation expectations and large fiscal deficits remain key macroeconomic challenges","More specifically : In India , while external vulnerabilities have moderated and inflation has fallen faster than expected , persistently high inflation expectations and large fiscal deficits remain key macroeconomic challenges "
387,Accelerated financial sector restructuring and reform should thus be top priorities,Accelerated financial sector restructuring and reform should thus be top priorities 
388,"Given the deterioration in the inflation and economic outlook and risks of stagnation, the need for a comprehensive strategy to boost growth is particularly relevant in the euro area and Japan","Given the deterioration in the inflation and economic outlook and risks of stagnation , the need for a comprehensive strategy to boost growth is particularly relevant in the euro area and Japan "
389,"In a number of countries, it may be appropriate to devote fiscal resources to reduce private sector debt overhangs and repair financial sector balance sheets","In a number of countries , it may be appropriate to devote fiscal resources to reduce private sector debt overhangs and repair financial sector balance sheets "
390,Raising both actual and potential output through a combination of demand support and structural reforms remains a key policy objective,Raising both actual and potential output through a combination of demand support and structural reforms remains a key policy objective 
391,"This could be achieved by lower ECB monetary policy interest rates, for which room exists, and, as needed, further unconventional measures","This could be achieved by lower ECB monetary policy interest rates , for which room exists , and , as needed , further unconventional measures "
392,"Large negative growth surprises in euro area countries should not trigger additional consolidation efforts, which would be self-defeating","Large negative growth surprises in euro area countries should not trigger additional consolidation efforts , which would be self-defeating "
393,A number of emerging market economies are already operating at or above capacity,A number of emerging market economies are already operating at or above capacity 
394,The reform agenda is unfinished and needs to be reinvigorated to strengthen the global financial system,The reform agenda is unfinished and needs to be reinvigorated to strengthen the global financial system 
395,Private debt and financial vulnerabilities require attention,Private debt and financial vulnerabilities require attention 
396,advanced economies with large surpluses should prioritize structural reforms in labor and product markets that would bolster domestic demand,advanced economies with large surpluses should prioritize structural reforms in labor and product markets that would bolster domestic demand 
397,"Some emerging economies can afford to maintain current monetary policy settings or ease if downside risks materialize, while others may have to take measures to gradually tighten financial conditions","Some emerging economies can afford to maintain current monetary policy settings or ease if downside risks materialize , while others may have to take measures to gradually tighten financial conditions "
398,"In some (for example India), the magnitude of fiscal problems requires an overhaul of tax and subsidy policies.","In some for example India , the magnitude of fiscal problems requires an overhaul of tax and subsidy policies ."
399,"Additional unconventional monetary support (targeted long term refinancing operations, lower collateral haircuts) could also help reduce fragmentation and restore monetary transmission","Additional unconventional monetary support targeted long term refinancing operations , lower collateral haircuts could also help reduce fragmentation and restore monetary transmission "
400,Emerging economies face both near-term and medium-term challenges to support growth,Emerging economies face both near-term and medium-term challenges to support growth 
401,"In the United States, lower oil prices contribute positively to the recovery and there is a strong case to abstract from the effects of temporary oil supply shocks unless they translate into second round effects in wage and price settings (for example a persistent decline in longer term inflation expectations)﴿","In the United States , lower oil prices contribute positively to the recovery"
402,"In the United States, lower oil prices contribute positively to the recovery and there is a strong case to abstract from the effects of temporary oil supply shocks unless they translate into second round effects in wage and price settings (for example a persistent decline in longer term inflation expectations)﴿",there is a strong case to abstract from the effects of temporary oil supply shocks unless they translate into second round effects in wage and price settings for example a persistent decline in longer term inflation expectations 
403,"In contrast, monetary policy in the euro area and Japan is expected to remain more accommodative for an extended period as they fight low inflation (euro area) or try to persistently raise inflation and inflation expectations (Japan)","In contrast , monetary policy in the euro area and Japan is expected to remain more accommodative for an extended period as they fight low inflation euro area or try to persistently raise inflation and inflation expectations Japan "
404,"In many emerging market economies, macroeconomic policy space to support growth remains limited, but lower oil prices will alleviate inflationary pressures, allowing for a more gradual tightening of monetary policy","In many emerging market economies , macroeconomic policy space to support growth remains limited , but lower oil prices will alleviate inflationary pressures , allowing for a more gradual tightening of monetary policy "
405,"Hence, on balance fiscal consolidation should generally take priority, all else given","Hence , on balance fiscal consolidation should generally take priority , all else given "
406,Deploying macro-prudential tools to limit financial risks— which in some cases may require changes to regulatory and legal structures—can reduce the need for monetary policy response to financial stability concerns,Deploying macro-prudential tools to limit financial risks which in some cases may require changes to regulatory and legal structures can reduce the need for monetary policy response to financial stability concerns 
407,"Credible macroeconomic policies and frameworks, alongside exchange rate flexibility are needed to weather the turbulence","Credible macroeconomic policies and frameworks , alongside exchange rate flexibility are needed to weather the turbulence "
408,"In the euro area, the overall fiscal stance planned for 2014 is neutral, although a number of countries are still tightening, even if at a slower pace","In the euro area , the overall fiscal stance planned for 2014 is neutral , although a number of countries are still tightening , even if at a slower pace "
409,"In many advanced economies, monetary policy can afford to remain accommodative for an extended period, given subdued price pressures","In many advanced economies , monetary policy can afford to remain accommodative for an extended period , given subdued price pressures "
410,"Moreover, where credit intermediation remains impaired, central banks should continue to explore unconventional measures to stimulate economic activity and improve credit flows","Moreover , where credit intermediation remains impaired , central banks should continue to explore unconventional measures to stimulate economic activity and improve credit flows "
411,"In emerging economies, cyclical positions and vulnerabilities vary across countries, with some facing more intense market pressures, and policy responses will need to be country specific","In emerging economies , cyclical positions and vulnerabilities vary across countries , with some facing more intense market pressures ,"
412,"In emerging economies, cyclical positions and vulnerabilities vary across countries, with some facing more intense market pressures, and policy responses will need to be country specific",policy responses will need to be country specific 
413,and exits in emerging economies with excessive current account surpluses should be accompanied by exchange rate appreciation,exits in emerging economies with excessive current account surpluses should be accompanied by exchange rate appreciation 
414,"In economies where recovery is already well established, policymakers will need to pay increasing attention to building inflationary pressure","In economies where recovery is already well established , policymakers will need to pay increasing attention to building inflationary pressure "
415,"With monetary policy set to remain appropriately supportive, this will be helped by the recommended use of fiscal space—for example, to raise potential growth or reduce still-open output gaps—in G-20 excess surplus economies (such as Germany and Korea) and gradual fiscal consolidation in excess deficit countries (United Kingdom, United States)","With monetary policy set to remain appropriately supportive , this will be helped by the recommended use of fiscal space for example , to raise potential growth or reduce still-open output gaps in G-20 excess surplus economies such as Germany and Korea and gradual fiscal consolidation in excess deficit countries United Kingdom , United States "
416,"In the United States, following the increase of the federal funds rate in mid-December, further actions should be well-communicated and based on clear evidence of wage or price pressures and an assessment that inflation is set to rise steadily toward the Federal Reserve’s two percent medium-term objective","In the United States , following the increase of the federal funds rate in mid-December , further actions should be well-communicated and based on clear evidence of wage or price pressures and an assessment that inflation is set to rise steadily toward the Federal Reserve 's two percent medium-term objective "
417,"Widespread financial, fiscal, and structural impediments need to be addressed to bolster growth and financial stability","Widespread financial , fiscal , and structural impediments need to be addressed to bolster growth and financial stability "
418,"Interest rates will need to be raised as economies recover and output gaps are reduced, but the path should take account of the withdrawal of fiscal support","Interest rates will need to be raised as economies recover and output gaps are reduced ,"
419,"Interest rates will need to be raised as economies recover and output gaps are reduced, but the path should take account of the withdrawal of fiscal support",the path should take account of the withdrawal of fiscal support 
420,"Where inflationary pressures are diminishing and fiscal fundamentals are weak, monetary policy can be eased","Where inflationary pressures are diminishing and fiscal fundamentals are weak , monetary policy can be eased "
421,"This should be anchored by credible plans for debt reduction—notably, for the United States and Japan","This should be anchored by credible plans for debt reduction notably , for the United States and Japan "
422,Considerable uncertainty remains about the commitment of the government to put in place the complete package of policies required for a successful outcome,Considerable uncertainty remains about the commitment of the government to put in place the complete package of policies required for a successful outcome 
423,Sovereigns under stress need to continue to adjust and request appropriate EFSF/ESM support if needed,Sovereigns under stress need to continue to adjust and request appropriate EFSF/ESM support if needed 
424,"The recent pause in monetary policy easing has been appropriate given the risks to inflation from ruble depreciation, external risks, and the need to build credibility under the newly introduced inflation targeting regime.","The recent pause in monetary policy easing has been appropriate given the risks to inflation from ruble depreciation , external risks , and the need to build credibility under the newly introduced inflation targeting regime ."
425,The strengthening of the recovery and unwinding of accommodative monetary policy in advanced economies will lead to tighter external financing conditions and could generate further bouts of volatility in capital flows,The strengthening of the recovery and unwinding of accommodative monetary policy in advanced economies will lead to tighter external financing conditions and could generate further bouts of volatility in capital flows 
426,"In the near term, priorities include:  weathering the current turbulence and capital outflows and  choosing counter-cyclical policy to close output gaps where possible, or the unavoidable pro-cyclical policies for those lacking policy space/credibility","In the near term , priorities include : weathering the current turbulence and capital outflows and choosing counter-cyclical policy to close output gaps where possible , or the unavoidable pro-cyclical policies for those lacking policy space/credibility "
427,The right policies will also help to reduce external imbalances,The right policies will also help to reduce external imbalances 
428,"This requires slowing credit expansion and switching from off-budget investment to more on-budget, pro-consumption measures","This requires slowing credit expansion and switching from off-budget investment to more on-budget , pro-consumption measures "
429,"It will also make systemic institutions more resilient, help contain pro-cyclical asset price and credit dynamics, and cushion the consequences of liquidity squeezes if volatility spikes","It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion the consequences of liquidity squeezes if volatility spikes "
430,"Meanwhile, the ECB’s commitment to act on secondary markets via the OMT is critical to address elevated risk premia due to convertibility concerns within the euro area, while maintaining a very accommodative monetary policy should support demand","Meanwhile , the ECB 's commitment to act on secondary markets via the OMT is critical to address elevated risk premia due to convertibility concerns within the euro area , while maintaining a very accommodative monetary policy should support demand "
431,"In Latin America, economies are operating close to speed limit, which restricts available policy room","In Latin America , economies are operating close to speed limit , which restricts available policy room "
432,"The scope to do so will require credible macroeconomic policies and frameworks, which has proven essential in coping with volatile financial conditions in the past","The scope to do so will require credible macroeconomic policies and frameworks , which has proven essential in coping with volatile financial conditions in the past "
433,"In advanced economies, macroeconomic policies should support growth","In advanced economies , macroeconomic policies should support growth "
434,Government budgetary policies are in the process of moving from short-term stimulus to medium-term consolidation,Government budgetary policies are in the process of moving from short-term stimulus to medium-term consolidation 
435,"In the euro area, EMU-wide policies should support individual countries’ efforts to repair public and private balance sheets and implement structural reforms to restore competitiveness","In the euro area , EMU-wide policies should support individual countries ' efforts to repair public and private balance sheets and implement structural reforms to restore competitiveness "
436,"Current plans to end tapering later this year and increase policy rates from the middle of next year appear appropriate, given the sizable slack","Current plans to end tapering later this year and increase policy rates from the middle of next year appear appropriate , given the sizable slack "
437,"Tighten monetary policy and, notably in key surplus economies, allow for greater exchange rate flexibility",Tighten monetary policy
438,"Tighten monetary policy and, notably in key surplus economies, allow for greater exchange rate flexibility",", notably in key surplus economies , allow for greater exchange rate flexibility "
439,Conventional monetary policy should be eased further,Conventional monetary policy should be eased further 
440,Fiscal reforms that have long-term effects but that do not affect the economic recovery in the short-term (such as entitlement reforms) should thus be implemented soon to enhance credibility,Fiscal reforms that have long-term effects but that do not affect the economic recovery in the short-term such as entitlement reforms should thus be implemented soon to enhance credibility 
441,"At the same time, the design of fiscal policy should support growth, including by enhancing infrastructure investment (see Annex) where needs have been identified, there is slack in the economy, and investment processes are relatively efficient (for example, Germany and the United States)","At the same time , the design of fiscal policy should support growth , including by enhancing infrastructure investment see Annex where needs have been identified , there is slack in the economy ,"
442,"At the same time, the design of fiscal policy should support growth, including by enhancing infrastructure investment (see Annex) where needs have been identified, there is slack in the economy, and investment processes are relatively efficient (for example, Germany and the United States)","investment processes are relatively efficient for example , Germany and the United States "
443,"The situation is more varied across emerging G-20 economies, but monetary accommodation will likely need to be withdrawn sooner","The situation is more varied across emerging G-20 economies ,"
444,"The situation is more varied across emerging G-20 economies, but monetary accommodation will likely need to be withdrawn sooner",monetary accommodation will likely need to be withdrawn sooner 
445,"Sharp declines in food and fuel prices have provided the room for central banks in many of these economies to lower interest rates, and they have been appropriately cautious in order to avoid disorderly exchange rate moves or triggering capital outflows","Sharp declines in food and fuel prices have provided the room for central banks in many of these economies to lower interest rates ,"
446,"Sharp declines in food and fuel prices have provided the room for central banks in many of these economies to lower interest rates, and they have been appropriately cautious in order to avoid disorderly exchange rate moves or triggering capital outflows",they have been appropriately cautious in order to avoid disorderly exchange rate moves or triggering capital outflows 
447,"The recent additional monetary easing is welcome, and further progress is needed in addressing structural weaknesses and improving the quality of fiscal adjustment","The recent additional monetary easing is welcome ,"
448,"The recent additional monetary easing is welcome, and further progress is needed in addressing structural weaknesses and improving the quality of fiscal adjustment",further progress is needed in addressing structural weaknesses and improving the quality of fiscal adjustment 
449,"Moreover, if deflation risks materialize and monetary policy options are depleted, the escape clauses in the fiscal framework may need to be used to respond in these circumstances","Moreover , if deflation risks materialize and monetary policy options are depleted , the escape clauses in the fiscal framework may need to be used to respond in these circumstances "
450,"To secure a strong and durable recovery, policies need a decisive upgrade","To secure a strong and durable recovery , policies need a decisive upgrade "
451,The timing of the policy rate increase should be attuned to inflation and labor market developments,The timing of the policy rate increase should be attuned to inflation and labor market developments 
452,"In economies where adjustment is unavoidable, allowing exchange rate depreciation will be a critical buffer to cushion the impact of the shock (for example, Russia), which highlights the challenges faced by oil exporters with fixed exchange rate regimes (for example, Venezuela, Ecuador)","In economies where adjustment is unavoidable , allowing exchange rate depreciation will be a critical buffer to cushion the impact of the shock for example , Russia , which highlights the challenges faced by oil exporters with fixed exchange rate regimes for example , Venezuela , Ecuador "
453,"Reversing financial fragmentation (for example, reducing financial home bias, improving cross-border bank flows","Reversing financial fragmentation for example , reducing financial home bias , improving cross-border bank flows "
454,"To balance inflation concerns—particularly in conjunction with the large increase in government indebtedness and central bank balance sheets—and the risk that liquidity is prematurely withdrawn while the nascent recovery is still fragile, monetary authorities will need to communicate clearly the objectives and the tools of their unconventional policies, as well as their exit strategies","To balance inflation concerns particularly in conjunction with the large increase in government indebtedness and central bank balance sheets and the risk that liquidity is prematurely withdrawn while the nascent recovery is still fragile , monetary authorities will need to communicate clearly the objectives and the tools of their unconventional policies , as well as their exit strategies "
455,Room for monetary easing may also be limited where a strong credit expansion continues or where currencies are undervalued,Room for monetary easing may also be limited where a strong credit expansion continues or where currencies are undervalued 
456,"In Japan, incomes policies and structural reforms that raise productivity are vital to tackle medium-term risks coming from continuing lackluster growth and the overburdening of monetary policy","In Japan , incomes policies and structural reforms that raise productivity are vital to tackle medium-term risks coming from continuing lackluster growth and the overburdening of monetary policy "
457,"Monetary policy tightening may encourage these flows, which will boost credit and thus reduce its effectiveness","Monetary policy tightening may encourage these flows , which will boost credit and thus reduce its effectiveness "
458,"Notably, raising actual and potential growth remains a key objective","Notably , raising actual and potential growth remains a key objective "
459,"Major central banks have acted aggressively, easing policy rates to near zero and using their balance sheets to directly support intermediation","Major central banks have acted aggressively , easing policy rates to near zero and using their balance sheets to directly support intermediation "
