,sentence,subsentence1,subsentence2
433,"External and financial vulnerabilities have risen, and could be exacerbated if capital flow reversals materialize, as private sector leverage has increased significantly, and current account positions have deteriorated","External and financial vulnerabilities have risen , and could be exacerbated if capital flow reversals materialize , as private sector leverage has increased significantly ,","if capital flow reversals materialize ,"
434,"External and financial vulnerabilities have risen, and could be exacerbated if capital flow reversals materialize, as private sector leverage has increased significantly, and current account positions have deteriorated","External and financial vulnerabilities have risen , and could be exacerbated if capital flow reversals materialize , as private sector leverage has increased significantly ,","as private sector leverage has increased significantly ,"
435,"External and financial vulnerabilities have risen, and could be exacerbated if capital flow reversals materialize, as private sector leverage has increased significantly, and current account positions have deteriorated",current account positions have deteriorated ,current account positions have deteriorated
436,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth ,Other helpful measures include adjusting the composition of spending toward public investment and moving the revenue structure toward indirect and other taxes relatively less detrimental to growth
437,More coordination is necessary to avoid fragmentation,More coordination is necessary to avoid fragmentation ,More coordination is necessary to avoid fragmentation
438,Consistent implementation and international cooperation is also critical for a level playing field and reducing fragmentation,Consistent implementation and international cooperation is also critical for a level playing field and reducing fragmentation ,Consistent implementation and international cooperation is also critical for a level playing field and reducing fragmentation
439,"Building on recent achievements, the authorities should aim for sustained wage inflation, supported by higher public sector and minimum wages, alongside labor market reforms that reduce duality","Building on recent achievements , the authorities should aim for sustained wage inflation , supported by higher public sector and minimum wages , alongside labor market reforms that reduce duality ","Building on recent achievements , the authorities should aim for sustained wage inflation , supported by higher public sector and minimum wages , alongside labor market reforms"
440,"Building on recent achievements, the authorities should aim for sustained wage inflation, supported by higher public sector and minimum wages, alongside labor market reforms that reduce duality","Building on recent achievements , the authorities should aim for sustained wage inflation , supported by higher public sector and minimum wages , alongside labor market reforms that reduce duality ",that reduce duality
441,"The key objective will be to maintain price stability, but where financial stability remains fragile, or key markets are not yet functioning, central banks may need to maintain crisis-intervention measures or possibly introduce new targeted ones, even within the context of an overall tightening of the monetary policy stance","The key objective will be to maintain price stability ,","The key objective will be to maintain price stability ,"
442,"The key objective will be to maintain price stability, but where financial stability remains fragile, or key markets are not yet functioning, central banks may need to maintain crisis-intervention measures or possibly introduce new targeted ones, even within the context of an overall tightening of the monetary policy stance","where financial stability remains fragile , or key markets are not yet functioning , central banks may need to maintain crisis-intervention measures or possibly introduce new targeted ones , even within the context of an overall tightening of the monetary policy stance ","where financial stability remains fragile , or key markets are not yet functioning , central banks may need to maintain crisis-intervention measures or possibly introduce new targeted ones , even within the context of an overall tightening of the monetary policy stance"
443,"In the United States, Federal Reserve policy should remain data dependent","In the United States , Federal Reserve policy should remain data dependent ","In the United States , Federal Reserve policy should remain data dependent"
444,"When there is economic slack and monetary accommodation, short-run demand effects are stronger, and the boost in output can lead to a decline in the public-debt-to-GDP ratio","When there is economic slack and monetary accommodation , short-run demand effects are stronger ,","When there is economic slack and monetary accommodation , short-run demand effects are stronger ,"
445,"When there is economic slack and monetary accommodation, short-run demand effects are stronger, and the boost in output can lead to a decline in the public-debt-to-GDP ratio",the boost in output can lead to a decline in the ratio ,the boost in output can lead to a decline in the ratio
446,Macro-prudential tools should be the first line of defense against financial stability risks,Macro-prudential tools should be the first line of defense against financial stability risks ,Macro-prudential tools should be the first line of defense against financial stability risks
447,"As a result, central banks have also taken a number of unconventional measures, including direct intervention in credit markets","As a result , central banks have also taken a number of unconventional measures , including direct intervention in credit markets ","As a result , central banks have also taken a number of unconventional measures , including direct intervention in credit markets"
448,"Some reforms have more potential to boost demand in the short term, such as those that lower barriers for new firms to enter product and services markets","Some reforms have more potential to boost demand in the short term , such as those that lower barriers for new firms to enter product and services markets ","Some reforms have more potential to boost demand in the short term , such as those"
449,"Some reforms have more potential to boost demand in the short term, such as those that lower barriers for new firms to enter product and services markets","Some reforms have more potential to boost demand in the short term , such as those that lower barriers for new firms to enter product and services markets ",that lower barriers for new firms to enter product and services markets
450,"Looking forward, the appreciation of exchange rates since the first quarter will help support domestic demand, consistent with broader need to rebalance the global economy towards higher consumption in those economies that had accumulated reserves before the financial crisis","Looking forward , the appreciation of exchange rates since the first quarter will help support domestic demand , consistent with broader need to rebalance the global economy towards higher consumption in those economies that had accumulated reserves before the financial crisis ","Looking forward , the appreciation of exchange rates since the first quarter will help support domestic demand , consistent with broader need to rebalance the global economy towards higher consumption in those economies"
451,"Looking forward, the appreciation of exchange rates since the first quarter will help support domestic demand, consistent with broader need to rebalance the global economy towards higher consumption in those economies that had accumulated reserves before the financial crisis","Looking forward , the appreciation of exchange rates since the first quarter will help support domestic demand , consistent with broader need to rebalance the global economy towards higher consumption in those economies that had accumulated reserves before the financial crisis ",that had accumulated reserves before the financial crisis
452,"But it would be critical to repair bank balance sheets to reduce financial fragmentation, improve the monetary transmission mechanism, and allow for a sustained recovery in investment","But it would be critical to repair bank balance sheets to reduce financial fragmentation , improve the monetary transmission mechanism , and allow for a sustained recovery in investment ","But it would be critical to repair bank balance sheets to reduce financial fragmentation , improve the monetary transmission mechanism , and allow for a sustained recovery in investment"
453,Capital inflows may require adjustments to the policy mix,Capital inflows may require adjustments to the policy mix ,Capital inflows may require adjustments to the policy mix
454,"If inflows raise macro- and financial-stability concerns, macroeconomic policies (for example, adjusting the fiscal-monetary policy mix, exchange rate appreciation, and some reserve accumulation) should be complemented with strengthened prudential measures (for example, loan to value ratios, funding composition restrictions)","If inflows raise macro - and financial-stability concerns , macroeconomic policies for example , adjusting the fiscal-monetary policy mix , exchange rate appreciation , and some reserve accumulation should be complemented with strengthened prudential measures for example , loan to value ratios , funding composition restrictions ","If inflows raise macro - and financial-stability concerns , macroeconomic policies for example , adjusting the fiscal-monetary policy mix , exchange rate appreciation , and some reserve accumulation should be complemented with strengthened prudential measures for example , loan to value ratios , funding composition restrictions"
455,Some emerging economies should remain watchful of inflationary pressures and should not lower interest rates further,Some emerging economies should remain watchful of inflationary pressures and should not lower interest rates further ,Some emerging economies should remain watchful of inflationary pressures and should not lower interest rates further
456,The reduction in inflation toward the 4.percent target by 2017 will require a tight monetary policy stance,The reduction in inflation toward the 4 ,The reduction in inflation toward the 4
457,"Moreover, QE should be supported by a more balanced policy mix comprising fiscal support, balance sheet repair, and structural reforms","Moreover , QE should be supported by a more balanced policy mix comprising fiscal support , balance sheet repair , and structural reforms ","Moreover , QE should be supported by a more balanced policy mix comprising fiscal support , balance sheet repair , and structural reforms"
458,"In order to enhance the credibility of the exercise and make it easier to raise private capital, greater clarity is needed on the availability of public backstops as safety nets","In order to enhance the credibility of the exercise and make it easier to raise private capital , greater clarity is needed on the availability of public backstops as safety nets ","In order to enhance the credibility of the exercise and make it easier to raise private capital , greater clarity is needed on the availability of public backstops as safety nets"
459,"On October 31 st , the Bank of Japan (BoJ) expanded its Quantitative and Qualitative Monetary Easing (QQE) framework by accelerating purchases of JGBs (and extending their maturity) and tripling the purchases of private assets, which should support domestic demand","On October 31 st , the Bank of Japan BoJ expanded its Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets , which should support domestic demand ","On October 31 st , the Bank of Japan BoJ expanded its Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets ,"
460,"On October 31 st , the Bank of Japan (BoJ) expanded its Quantitative and Qualitative Monetary Easing (QQE) framework by accelerating purchases of JGBs (and extending their maturity) and tripling the purchases of private assets, which should support domestic demand","On October 31 st , the Bank of Japan BoJ expanded its Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets , which should support domestic demand ",which should support domestic demand
461,"Indeed, policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular, to the extent that credit markets remain impaired, monetary tightening may need to be led by a raising of policy rates","Indeed , policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular , to the extent that credit markets remain impaired , monetary tightening may need to be led by a raising of policy rates ","Indeed , policy rates may need to rise"
462,"Indeed, policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular, to the extent that credit markets remain impaired, monetary tightening may need to be led by a raising of policy rates","Indeed , policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular , to the extent that credit markets remain impaired , monetary tightening may need to be led by a raising of policy rates ",before unconventional
463,"Indeed, policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular, to the extent that credit markets remain impaired, monetary tightening may need to be led by a raising of policy rates","Indeed , policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular , to the extent that credit markets remain impaired , monetary tightening may need to be led by a raising of policy rates ","monetary policy stimulus is fully withdrawn In particular , to the extent"
464,"Indeed, policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular, to the extent that credit markets remain impaired, monetary tightening may need to be led by a raising of policy rates","Indeed , policy rates may need to rise before unconventional monetary policy stimulus is fully withdrawn In particular , to the extent that credit markets remain impaired , monetary tightening may need to be led by a raising of policy rates ","that credit markets remain impaired , monetary tightening may need to be led by a raising of policy rates"
465,"Vulnerabilities may also be building in the non-bank financial sector, with a rapid expansion of agency real estate investment trusts (REITs), weakening underwriting standards in the leveraged loan market (covenant-lite loans issuance has returned to pre- crisis levels), and higher credit and liquidity risks taken by pension funds and insurance companies","Vulnerabilities may also be building in the non-bank financial sector , with a rapid expansion of agency real estate investment trusts REITs , weakening underwriting standards in the leveraged loan market covenant-lite loans issuance has returned to pre - crisis levels , and higher credit and liquidity risks taken by pension funds and insurance companies ","Vulnerabilities may also be building in the non-bank financial sector , with a rapid expansion of agency real estate investment trusts REITs , weakening underwriting standards in the leveraged loan market"
466,"Vulnerabilities may also be building in the non-bank financial sector, with a rapid expansion of agency real estate investment trusts (REITs), weakening underwriting standards in the leveraged loan market (covenant-lite loans issuance has returned to pre- crisis levels), and higher credit and liquidity risks taken by pension funds and insurance companies","Vulnerabilities may also be building in the non-bank financial sector , with a rapid expansion of agency real estate investment trusts REITs , weakening underwriting standards in the leveraged loan market covenant-lite loans issuance has returned to pre - crisis levels , and higher credit and liquidity risks taken by pension funds and insurance companies ","covenant-lite loans issuance has returned to pre - crisis levels , and higher credit and liquidity risks taken by pension funds and insurance companies"
467,"A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output, it would also support external adjustment, while at the same time having positive spillovers to other euro area economies where there is still cyclical slack","A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output , it would also support external adjustment , while at the same time having positive spillovers to other euro area economies where there is still cyclical slack ","A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output ,"
468,"A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output, it would also support external adjustment, while at the same time having positive spillovers to other euro area economies where there is still cyclical slack","A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output , it would also support external adjustment , while at the same time having positive spillovers to other euro area economies where there is still cyclical slack ","it would also support external adjustment ,"
469,"A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output, it would also support external adjustment, while at the same time having positive spillovers to other euro area economies where there is still cyclical slack","A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output , it would also support external adjustment , while at the same time having positive spillovers to other euro area economies where there is still cyclical slack ",while at the same time having positive spillovers to other euro area economies
470,"A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output, it would also support external adjustment, while at the same time having positive spillovers to other euro area economies where there is still cyclical slack","A more expansionary fiscal stance in Germany would not only allow a much-needed increase in public investment and raise potential output , it would also support external adjustment , while at the same time having positive spillovers to other euro area economies where there is still cyclical slack ",where there is still cyclical slack
471,"However, if the economy is at risk of overheating and there are inflationary pressures, reducing interest rates is not an attractive policy option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.","However , if the economy is at risk of overheating and there are inflationary pressures , reducing interest rates is not an attractive policy option , while both political considerations and implementation lags may limit the scope for fiscal consolidation .","However ,"
472,"However, if the economy is at risk of overheating and there are inflationary pressures, reducing interest rates is not an attractive policy option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.","However , if the economy is at risk of overheating and there are inflationary pressures , reducing interest rates is not an attractive policy option , while both political considerations and implementation lags may limit the scope for fiscal consolidation .","if the economy is at risk of overheating and there are inflationary pressures , reducing"
473,"However, if the economy is at risk of overheating and there are inflationary pressures, reducing interest rates is not an attractive policy option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.","However , if the economy is at risk of overheating and there are inflationary pressures , reducing interest rates is not an attractive policy option , while both political considerations and implementation lags may limit the scope for fiscal consolidation .","interest rates is not an attractive policy option ,"
474,"However, if the economy is at risk of overheating and there are inflationary pressures, reducing interest rates is not an attractive policy option, while both political considerations and implementation lags may limit the scope for fiscal consolidation.","However , if the economy is at risk of overheating and there are inflationary pressures , reducing interest rates is not an attractive policy option , while both political considerations and implementation lags may limit the scope for fiscal consolidation .",while both political considerations and implementation lags may limit the scope for fiscal consolidation .
475,"In particular, to ensure that the transmission mechanism for monetary policy remains effective, efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households","In particular , to ensure that the transmission mechanism for monetary policy remains effective , efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households ","In particular , to ensure"
476,"In particular, to ensure that the transmission mechanism for monetary policy remains effective, efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households","In particular , to ensure that the transmission mechanism for monetary policy remains effective , efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households ","that the transmission mechanism for monetary policy remains effective , efforts should be directed at devising targeted schemes"
477,"In particular, to ensure that the transmission mechanism for monetary policy remains effective, efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households","In particular , to ensure that the transmission mechanism for monetary policy remains effective , efforts should be directed at devising targeted schemes that help ease credit constraints on firms and households ",that help ease credit constraints on firms and households
478,The IMF prepared detailed country-by-county recommendations along these lines on the occasion of the Finance Ministers and Central Bank Governors’ Meetings in July 2016,The IMF prepared detailed recommendations along these lines on the occasion of the Finance Ministers and Central Bank Governors ' Meetings in July 2016 ,The IMF prepared detailed recommendations along these lines on the occasion of the Finance Ministers and Central Bank Governors ' Meetings in July 2016
479,Monetary policy has remained highly accommodative in many economies,Monetary policy has remained highly accommodative in many economies ,Monetary policy has remained highly accommodative in many economies
480,"Finally, new policy frameworks—compatible with a needed shift in the pattern of global demand—would facilitate adjustment to a more sustainable and resilient configuration for global growth in the years ahead.","Finally , new policy frameworks compatible with a needed shift in the pattern of global demand would facilitate adjustment to a more sustainable and resilient configuration for global growth in the years ahead .","Finally , new policy frameworks compatible with a needed shift in the pattern of global demand would facilitate adjustment to a more sustainable and resilient configuration for global growth in the years ahead ."
481,"The Federal Reserve, Bank of England, and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps if needed","The Federal Reserve , Bank of England , and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps if needed ","The Federal Reserve , Bank of England , and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps"
482,"The Federal Reserve, Bank of England, and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps if needed","The Federal Reserve , Bank of England , and Bank of Japan should stand ready to continue their deployment of unconventional measures and take further steps if needed ",if needed
483,"However, if low growth persists and monetary policy options are depleted, the flexibility in the current fiscal framework may need to be used to respond in these circumstances","However , if low growth persists and monetary policy options are depleted , the flexibility in the current fiscal framework may need to be used to respond in these circumstances ","However ,"
484,"However, if low growth persists and monetary policy options are depleted, the flexibility in the current fiscal framework may need to be used to respond in these circumstances","However , if low growth persists and monetary policy options are depleted , the flexibility in the current fiscal framework may need to be used to respond in these circumstances ","if low growth persists and monetary policy options are depleted , the flexibility in the current fiscal framework may need to be used to respond in these circumstances"
485,"Emerging G-20 economies need to be nimble in dealing with potentially adverse spillovers from advanced economies, and continue to strengthen macroeconomic policy frameworks","Emerging G-20 economies need to be nimble in dealing with potentially adverse spillovers from advanced economies , and continue to strengthen macroeconomic policy frameworks ","Emerging G-20 economies need to be nimble in dealing with potentially adverse spillovers from advanced economies , and continue to strengthen macroeconomic policy frameworks"
486,"This is needed not only to halt and ultimately reverse the large rise in public debt ratios, but also to help create room for policy maneuver to support private demand","This is needed not only to halt and ultimately reverse the large rise in public debt ratios , but also to help create room for policy maneuver to support private demand ","This is needed not only to halt and ultimately reverse the large rise in public debt ratios , but also to help create room for policy maneuver to support private demand"
487,"To safeguard the current growth momentum, the macroeconomic policy mix should be adjusted to changing circumstances","To safeguard the current growth momentum , the macroeconomic policy mix should be adjusted to changing circumstances ","To safeguard the current growth momentum , the macroeconomic policy mix should be adjusted to changing circumstances"
488,5 A combination of structural reforms and more expansionary demand policies in surplus economies can also help reduce global external imbalances,5 A combination of structural reforms and more expansionary demand policies in surplus economies can also help reduce global external imbalances ,5 A combination of structural reforms and more expansionary demand policies in surplus economies can also help reduce global external imbalances
489,"Further actions, including structural reforms, and cooperation are needed across the membership to lay the foundations for stronger and more balanced medium-term growth","Further actions , including structural reforms , and cooperation are needed across the membership to lay the foundations for stronger and more balanced medium-term growth ","Further actions , including structural reforms , and cooperation are needed across the membership to lay the foundations for stronger and more balanced medium-term growth"
490,Accelerated financial sector restructuring and reform should thus be top priorities,Accelerated financial sector restructuring and reform should thus be top priorities ,financial sector restructuring and reform should thus be top priorities
491,3 Provision of guarantees on bank funding and expanded liquidity facilities have helped reduce tail risks that the liquidity shock could have triggered cascading insolvencies in the financial sector,3 Provision of guarantees on bank funding and expanded liquidity facilities have helped reduce tail risks that the liquidity shock could have triggered cascading insolvencies in the financial sector ,3 Provision of guarantees on bank funding and expanded liquidity facilities have helped reduce tail risks
492,3 Provision of guarantees on bank funding and expanded liquidity facilities have helped reduce tail risks that the liquidity shock could have triggered cascading insolvencies in the financial sector,3 Provision of guarantees on bank funding and expanded liquidity facilities have helped reduce tail risks that the liquidity shock could have triggered cascading insolvencies in the financial sector ,that the liquidity shock could have triggered cascading insolvencies in the financial sector
493,"However, the unbalanced recovery across economies suggests that challenges faced by central banks differ, with well-crafted communication continuing to play a critical role, given that protracted monetary support has raised financial stability concerns: In the United States, with growth expected to increase above trend in the remainder of 2014 and 2015, the main policy issue is the appropriate speed of monetary policy normalization","However , the unbalanced recovery across economies suggests that challenges faced by central banks differ , with well-crafted communication continuing to play a critical role , given that protracted monetary support has raised financial stability concerns : In the United States , with growth expected to increase above trend in the remainder of 2014 and 2015 , the main policy issue is the appropriate speed of monetary policy normalization ","However , the unbalanced recovery across economies suggests"
494,"However, the unbalanced recovery across economies suggests that challenges faced by central banks differ, with well-crafted communication continuing to play a critical role, given that protracted monetary support has raised financial stability concerns: In the United States, with growth expected to increase above trend in the remainder of 2014 and 2015, the main policy issue is the appropriate speed of monetary policy normalization","However , the unbalanced recovery across economies suggests that challenges faced by central banks differ , with well-crafted communication continuing to play a critical role , given that protracted monetary support has raised financial stability concerns : In the United States , with growth expected to increase above trend in the remainder of 2014 and 2015 , the main policy issue is the appropriate speed of monetary policy normalization ","that challenges faced by central banks differ , with well-crafted communication continuing to play a critical role , given"
495,"However, the unbalanced recovery across economies suggests that challenges faced by central banks differ, with well-crafted communication continuing to play a critical role, given that protracted monetary support has raised financial stability concerns: In the United States, with growth expected to increase above trend in the remainder of 2014 and 2015, the main policy issue is the appropriate speed of monetary policy normalization","However , the unbalanced recovery across economies suggests that challenges faced by central banks differ , with well-crafted communication continuing to play a critical role , given that protracted monetary support has raised financial stability concerns : In the United States , with growth expected to increase above trend in the remainder of 2014 and 2015 , the main policy issue is the appropriate speed of monetary policy normalization ","that protracted monetary support has raised financial stability concerns : In the United States , with growth expected to increase above trend in the remainder of 2014 and 2015 , the main policy issue is the appropriate speed of monetary policy normalization"
496,"While macroeconomic policies are but one determinant of the current account, they have contributed to maintain excess imbalances, which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries (see IMF 2017 External Sector Report)","While macroeconomic policies are but one determinant of the current account , they have contributed to maintain excess imbalances , which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries see IMF 2017 External Sector Report ","While macroeconomic policies are but one determinant of the current account , they have contributed to maintain excess imbalances ,"
497,"While macroeconomic policies are but one determinant of the current account, they have contributed to maintain excess imbalances, which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries (see IMF 2017 External Sector Report)","While macroeconomic policies are but one determinant of the current account , they have contributed to maintain excess imbalances , which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries see IMF 2017 External Sector Report ",which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries see IMF 2017 External Sector Report
498,"It will also make systemic institutions more resilient, help contain pro-cyclical asset price and credit dynamics, and cushion the consequences of liquidity squeezes if volatility spikes","It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion the consequences of liquidity squeezes if volatility spikes ","It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion"
499,"It will also make systemic institutions more resilient, help contain pro-cyclical asset price and credit dynamics, and cushion the consequences of liquidity squeezes if volatility spikes","It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion the consequences of liquidity squeezes if volatility spikes ",the consequences of liquidity squeezes if volatility spikes
500,"Excess-deficit economies, on the other hand, need to implement structural reforms to improve competitiveness, which may include wage moderation in line with productivity growth","Excess-deficit economies , on the other hand , need to implement structural reforms to improve competitiveness , which may include wage moderation in line with productivity growth ","Excess-deficit economies , on the other hand , need to implement structural reforms to improve competitiveness ,"
501,"Excess-deficit economies, on the other hand, need to implement structural reforms to improve competitiveness, which may include wage moderation in line with productivity growth","Excess-deficit economies , on the other hand , need to implement structural reforms to improve competitiveness , which may include wage moderation in line with productivity growth ",which may include wage moderation in line with productivity growth
502,"Exchange rate flexibility can usefully cushion the impact of adverse external shocks, provided that the effects of currency depreciations on balance sheets and domestic inflation rates are contained","Exchange rate flexibility can usefully cushion the impact of adverse external shocks , provided that the effects of currency depreciations on balance sheets and domestic inflation rates are contained ","rate flexibility can usefully cushion the impact of adverse external shocks , provided"
503,"Exchange rate flexibility can usefully cushion the impact of adverse external shocks, provided that the effects of currency depreciations on balance sheets and domestic inflation rates are contained","Exchange rate flexibility can usefully cushion the impact of adverse external shocks , provided that the effects of currency depreciations on balance sheets and domestic inflation rates are contained ",that the effects of currency depreciations on balance sheets and domestic inflation rates are contained
504,The three requirements for a more resilient recovery are sustained but gradual adjustment,The three requirements for a more resilient recovery are sustained but gradual adjustment ,The three requirements for a more resilient recovery are sustained but gradual adjustment
505,"Elsewhere, however, in some other countries where debt levels are relatively low, monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening.","Elsewhere , however , in some other countries where debt levels are relatively low , monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening .","Elsewhere , however , in some other countries"
506,"Elsewhere, however, in some other countries where debt levels are relatively low, monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening.","Elsewhere , however , in some other countries where debt levels are relatively low , monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening .","where debt levels are relatively low , monetary tightening and exchange rate adjustment would be more appropriate than fiscal tightening ."
507,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair ,A sound execution of the AQR and stress tests will be a key step toward reducing uncertainty about the health of banks and enabling balance sheet repair
508,"Room for monetary easing is also more limited where strong credit expansion continues, or where currencies are undervalued","Room for monetary easing is also more limited where strong credit expansion continues , or where currencies are undervalued ",Room for monetary easing is also more limited
509,"Room for monetary easing is also more limited where strong credit expansion continues, or where currencies are undervalued","Room for monetary easing is also more limited where strong credit expansion continues , or where currencies are undervalued ","where strong credit expansion continues , or"
510,"Room for monetary easing is also more limited where strong credit expansion continues, or where currencies are undervalued","Room for monetary easing is also more limited where strong credit expansion continues , or where currencies are undervalued ",where currencies are undervalued
511,"In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending (for example, Saudi Arabia)","In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending for example , Saudi Arabia ",In some economies
512,"In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending (for example, Saudi Arabia)","In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending for example , Saudi Arabia ",that have accumulated substantial savings from past higher prices and have fiscal space
513,"In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending (for example, Saudi Arabia)","In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending for example , Saudi Arabia ",can let
514,"In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending (for example, Saudi Arabia)","In some economies that have accumulated substantial savings from past higher prices and have fiscal space can let fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending for example , Saudi Arabia ","fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending for example , Saudi Arabia"
515,"At the same time, strong prudential oversight and supervision of the financial system is essential to address emerging vulnerabilities in both the bank and non-bank financial sector owing to ultra low interest rates","At the same time , strong prudential oversight and supervision of the financial system is essential to address emerging vulnerabilities in both the bank and non-bank financial sector owing to ultra low interest rates ","At the same time , strong prudential oversight and supervision of the financial system is essential to address emerging vulnerabilities in both the bank and non-bank financial sector owing to ultra low interest rates"
516,"Given a path for fiscal policies, monetary policy can be set to achieve a desired level of overall stimulus, tightening as needed to counter inflationary risks and maintain price stability","Given a path for fiscal policies , monetary policy can be set to achieve a desired level of overall stimulus , tightening as needed to counter inflationary risks and maintain price stability ","Given a path for fiscal policies , monetary policy can be set to achieve a desired level of overall stimulus , tightening"
517,"Given a path for fiscal policies, monetary policy can be set to achieve a desired level of overall stimulus, tightening as needed to counter inflationary risks and maintain price stability","Given a path for fiscal policies , monetary policy can be set to achieve a desired level of overall stimulus , tightening as needed to counter inflationary risks and maintain price stability ",as needed to counter inflationary risks and maintain price stability
518,"The timing, pace, and sequence of exiting from supportive policies will vary by country, depending on how robust the recovery of private demand as well as financial conditions","The timing , pace , and sequence of exiting from supportive policies will vary by country , depending on how robust the recovery of private demand as well as financial conditions ","The timing , pace , and sequence of exiting from supportive policies will vary by country , depending on how robust the recovery of private demand as well as financial conditions"
519,"With multiple interdependent factors holding back growth, policymakers have to work all necessary levers— structural policies (including to promote financial stability and trade), fiscal policies, and monetary policy","With multiple interdependent factors holding back growth , policymakers have to work all necessary levers structural policies including to promote financial stability and trade , fiscal policies , and monetary policy ","With multiple interdependent factors holding back growth , policymakers have to work all necessary levers structural policies including to promote financial stability and trade , fiscal policies , and monetary policy"
