index,sentence,hirose_san_score,hirose_san_topic
20130418_1_21_1_1,"Monetary policy tightening may encourage these flows ,",0,1
20130418_1_4_1_1,Progress on medium-term fiscal reform would also help quell concerns about political pressure on central banks to keep interest rates too low longer,,
20130418_1_6_1_1,Monetary policy should remain accommodative but mindful of new and evolving risks,-9,-9
20130719_1_8_1_1,Targeted unconventional,-9,-9
20130719_1_7_1_1,Conventional monetary policy should be eased further,1,1
20130719_1_25_1_1,"Monetary policy should have some leeway to ease in emerging Asia , especially in 2014 ,",1,1
20130719_1_16_1_3,as unemployment remains high and labor force participation below trends,0,0
20130719_1_25_2_1,inflation expectations are well anchored,,
20130719_1_26_1_1,"Several countries have already cut policy rates in response to the recent weakness in activity for example , India , Korea",0,0
20130719_1_6_1_3,"unemployment is high ,",,
20130719_1_19_1_3,as low interest rates squeeze interest margins,0,0
20130719_1_34_1_2,"where current account deficits are widening , with monetary policy remaining the first line of defense",0,0
20130719_1_24_1_2,"where inflation is firmly anchored ,",0,0
20130719_1_5_1_2,"until the recovery is well established , while containing potentially adverse side effects",0,0
20130719_1_6_1_1,"More needs to be done in the euro area ,",,
20130719_1_23_1_1,Requirements differ across countries,0,0
20130719_1_18_1_1,"At the same time , strong prudential oversight and supervision of the financial system is essential to address emerging vulnerabilities in both the bank and non-bank financial sector owing to ultra low interest rates",,
20130719_1_17_1_2,as benefits still outweigh the costs,0,0
20130719_1_24_1_3,"although capital flow reversals , external financing needs , and financial stability risks might constrain scope for action in some countries",0,0
20130719_1_33_1_1,Buffers should be rebuilt to create space for action,0,0
20130719_1_20_1_2,"covenant-lite loans issuance has returned to pre - crisis levels , and higher credit and liquidity risks taken by pension funds and insurance companies",,
20130719_1_29_1_2,which requires further monetary tightening,-1,1
20130719_1_28_1_1,In economies,,
20130719_1_6_2_1,inflation is projected well below the 2 percent target,,
20130719_1_8_1_2,"measures should play a role in addressing uncertainties about term funding availability for banks and the lack of credit for nonfinancial corporations , in particular SMEs",-9,-9
20130719_1_27_1_1,"In Latin America , economies are operating close to speed limit ,",0,0
20130719_1_10_1_1,The recent forward guidance provided by the ECB to anchor interest rate expectations was a welcome step,0,0
20130719_1_20_1_1,"Vulnerabilities may also be building in the non-bank financial sector , with a rapid expansion of agency real estate investment trusts REITs , weakening underwriting standards in the leveraged loan market",,
20130719_1_29_1_1,"Brazil continues to face a considerable inflation challenge , with inflation exceeding the upper limit of the inflation target band ,",0,0
20130719_1_12_1_1,"In Japan , the BoJ 's objective to raise inflation to 2 percent and the sweeping enhancements to the monetary framework are welcome",0,0
20130719_1_24_1_1,Monetary easing can be the first line of defense against liquidity pressures and downside risks,0,0
20130719_1_25_1_2,"as the output gap re-opens ,",,
20130719_1_9_1_1,"One such option could be a longer term LTRO combined with a review of current collateral policies , particularly on loans to SMEs",0,0
20130719_1_3_2_1,"fiscal adjustment should be measured , while being anchored by a credible medium-term roadmap for sustainability",,
20130719_1_35_1_1,"In some for example India , the magnitude of fiscal problems requires an overhaul of tax and subsidy policies .",0,0
20130719_1_21_1_1,"In the future , careful communication about the eventual exit from monetary stimulus will help reduce volatility in global financial markets",-9,-9
20130719_1_22_1_1,Monetary policy,-9,-9
20130719_1_19_1_1,There are incipient signs of rising exposure to both interest rate and credit risk in regional banks,0,0
20130719_1_19_1_2,"that require increased vigilance ,",0,0
20130719_1_25_1_3,"core inflation falls ,",,
20130719_1_14_1_1,Considerable uncertainty remains about the commitment of the government to put in place the complete package of policies required for a successful outcome,0,0
20130719_1_30_1_1,Fiscal and structural policies,-9,-9
20130719_1_4_1_1,Financial sector reforms also need to be urgently completed,0,0
20130719_1_34_1_1,Priority should be given to fiscal consolidation particularly in countries,0,0
20130719_1_6_1_2,"where the growth outlook is very weak ,",,
20130719_1_11_1_2,that prevent a solid return to growth,0,0
20130719_1_15_1_2,measures should be formulated in the near future,0,0
20130719_1_3_1_1,"Broadly speaking , monetary policy accommodation should continue to play its supportive role , given low inflation and still large output gaps ,",1,1
20130719_1_2_1_1,Supporting growth and creating jobs is the main challenge in the major advanced economies,0,0
20130719_1_15_1_1,"While the recent cabinet decision on the fiscal and growth strategies is welcome , more concrete and decisive",0,0
20130719_1_11_1_1,The breathing space provided by exceptionally accommodative monetary policies should be used by authorities to tackle underlying issues,0,0
20130719_1_5_1_1,Monetary policy needs to remain accommodative,0,1
20130719_1_28_1_2,"where monetary policy is still very accommodative and inflation above target , some monetary policy tightening may be needed to bring inflation back to target",-1,1
20130719_1_32_1_1,Public debt is above pre - crisis-levels in most countries and structural issues and lower potential output point to lower fiscal space than previously estimated,,
20130719_1_13_1_1,"Despite some signs of increasing inflation expectations , it is not yet well-entrenched",-9,-9
20130719_1_16_1_1,"In the United States ,",,
20130719_1_17_1_1,"The Fed 's policy should thus remain accommodative , including through its UMP ,",0,1
20130719_1_1_1_1,"In advanced economies , macroeconomic policies should support growth",0,0
20130719_1_31_1_1,Policymakers should also address structural obstacles to continued high growth while rebuilding fiscal policy buffers,0,0
20130719_1_27_1_2,which restricts available policy room,0,0
20130719_1_16_1_2,"while underlying growth has been relatively robust , there is still a long way to go on the labor market ,",,
20130719_1_33_1_2,should downside risks materialize,0,0
20141115_1_19_1_1,"Finally , the pace of fiscal withdrawal in 2014 15 is broadly appropriate in Japan ,",,
20141115_1_11_1_2,which in some cases may require changes to regulatory and legal structures is essential to limit financial risks and reduce the risk of monetary policy tightening not warranted by the cyclical position,0,0
20141115_1_8_1_1,"For these measures to succeed , they need to be supported by growth and fiscal reforms",0,0
20141115_1_7_1_2,which should support domestic demand,0,0
20141115_1_1_1_1,Prospects for an uneven recovery points to an asynchronous unwinding of monetary stimulus in advanced economies,0,0
20141115_1_11_1_1,Deploying macro-prudential tools,,
20141115_1_3_1_3,"that protracted monetary support has raised financial stability concerns : In the United States , with growth expected to increase above trend in the remainder of 2014 and 2015 , the main policy issue is the appropriate speed of monetary policy normalization",0,0
20141115_1_18_1_1,In response to negative growth surprises in the euro area flexibility within the fiscal governance framework could and should be used,0,0
20141115_1_5_1_1,"In the United Kingdom , still accommodative monetary policy has been combined with macro - prudential tools to contain financial stability risks",,
20141115_1_12_1_2,the consequences of liquidity squeezes if volatility spikes,0,0
20141115_1_9_1_1,Macro-prudential tools should be the first line of defense against financial stability risks,,
20141115_1_4_1_1,The timing of the policy rate increase should be attuned to inflation and labor market developments,0,1
20141115_1_6_1_1,"In Japan , monetary policy has helped lift inflation and inflation expectations",0,0
20141115_1_16_2_1,the boost in output can lead to a decline in the ratio,,
20141115_1_13_1_1,"Fiscal policy should be growth friendly , with the pace and composition of fiscal adjustment",0,0
20141115_1_17_1_1,"that there is space , a supportive fiscal stance can help offset short-term adverse effects of structural reforms on aggregate demand , bringing forward the growth benefits",,
20141115_1_2_1_1,"With output gaps still large , and inflation running below target , accommodative monetary conditions remain essential to support demand",1,1
20141115_1_20_1_1,"In some economies Brazil , India , Turkey , maintaining the course of fiscal consolidation is critical , given large fiscal deficits and high inflation in some cases , and high external borrowing",0,0
20141115_1_19_2_1,a post-2015 consolidation plan remains needed,,
20141115_1_3_1_2,"that challenges faced by central banks differ , with well-crafted communication continuing to play a critical role , given",,
20141115_1_15_1_1,"At the same time , the design of fiscal policy should support growth , including by enhancing",,
20141115_1_14_1_1,"Fiscal consolidation should proceed gradually , anchored in credible medium-term plans ,",,
20141115_1_16_1_1,"When there is economic slack and monetary accommodation , short-run demand effects are stronger ,",,
20141115_1_15_1_3,"where needs have been identified , there is slack in the economy ,",,
20141115_1_20_1_2,that has increased exposure to external funding risks in others,0,0
20141115_1_21_1_1,Monetary policy tightening may also be necessary,-1,1
20141115_1_10_1_1,Excessive risk-taking may have built in some sectors credit booms in a number of smaller advanced economies and the underpricing of risks in certain segments of United States financial markets after more than five years of exceptionally low rates,,
20141115_1_7_1_1,"On October 31 st , the Bank of Japan BoJ expanded its Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets ,",0,0
20141115_1_15_2_1,"investment processes are relatively efficient for example , Germany and the United States",,
20141115_1_12_1_1,"It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion",,
20141115_1_13_1_2,where needed attuned to supporting the recovery,0,0
20141115_1_18_1_2,where possible to avoid triggering additional consolidation efforts,0,0
20141115_1_21_1_2,should inflation expectations worsen .,0,0
20141115_1_14_1_2,which are lacking in some countries notably Japan and the United States,0,0
20141115_1_15_1_2,infrastructure investment see Annex,,
20141115_1_3_1_1,"However , the unbalanced recovery across economies suggests",0,0
20150209_1_16_1_1,"In Japan , the implementation of the Bank of Japan 's BoJ October announcement of expanded Quantitative and Qualitative Monetary Easing QQE framework by accelerating purchases of JGBs and extending their maturity and tripling the purchases of private assets remains critical to support domestic demand",0,0
20150209_1_27_1_2,that has increased exposure to external funding risks in others,0,0
20150209_1_31_1_3,"which highlights the challenges faced by oil exporters with fixed exchange rate regimes for example , Venezuela , Ecuador",0,0
20150209_1_32_1_2,"that depreciation will lead to persistently higher inflation and further depreciation , and to adapt to the prospects of a protracted deterioration in terms of trade",0,0
20150209_1_9_1_1,"In most advanced economies , output gaps are still substantial , inflation is below target ,",,
20150209_1_9_2_1,monetary policy remains,,
20150209_1_6_1_1,Lower oil prices offer an opportunity to reform energy subsidies and taxes in both oil exporters and importers,-9,-9
20150209_1_30_1_1,In some economies,,
20150209_1_24_1_1,This would allow for monetary policy to be tightened more gradually or by less,,
20150209_1_15_1_1,"The Fed 's employment and inflation objectives should guide policy decisions and the beginning of normalization of the monetary policy stance ,",0,0
20150209_1_12_1_3,which may require early action in economies with already low inflation,-9,-9
20150209_1_5_1_1,"For countries with less policy space , exchange rate flexibility will be a critical buffer to the shock",0,0
20150209_1_21_1_2,the consequences of liquidity squeezes if volatility spikes,0,0
20150209_1_3_1_3,"oil prices will alleviate inflationary pressures , allowing for a more gradual tightening of monetary policy",0,1
20150209_1_29_1_2,for which oil receipts typically contribute to a sizable share of fiscal revenues are experiencing large shocks in proportion to their economies,,
20150209_1_26_1_3,adjust policies,,
20150209_1_34_1_1,"Given the deterioration in the inflation and economic outlook and risks of stagnation , the need for a comprehensive strategy to boost growth is particularly relevant in the euro area and Japan",0,0
20150209_1_26_1_1,"Nonetheless , some economies for example , Turkey",0,0
20150209_1_20_1_2,which in some cases may require changes to regulatory and legal structures can reduce the need for monetary policy response to financial stability concerns,,
20150209_1_36_1_1,Sustaining the recovery will require structural reforms to raise potential growth along with demand support .,0,0
20150209_1_28_1_1,"For oil exporters , the optimal policy response to the sharp decline in prices will depend on the buffers accumulated during the years of high oil revenue and exchange rate regimes",0,0
20150209_1_9_2_2,constrained by the zero lower bound,0,0
20150209_1_23_1_1,"In some emerging economies , lower oil prices may alleviate inflationary pressures and reduce vulnerabilities",0,0
20150209_1_30_1_2,that have accumulated substantial savings from past higher prices and have fiscal space,,
20150209_1_14_2_1,there is a strong case to abstract from the effects of temporary oil supply shocks,,
20150209_1_4_1_1,"For oil exporters , the need to adjust fiscal stance would depend on the scope of savings from past higher prices of oil and exchange rate regimes",0,0
20150209_1_3_1_2,"to support growth remains limited , but lower",0,0
20150209_1_17_1_1,These monetary measures need to be supplemented by progress on ` third arrow ' structural reforms,0,0
20150209_1_26_1_2,that rely heavily on private external financing will need to proactively further,,
20150209_1_14_1_1,"In the United States , lower oil prices contribute positively to the recovery",,
20150209_1_18_1_1,Macro-prudential tools should be the first line of defense against financial stability risks,,
20150209_1_1_1_1,"Advanced economies should maintain supportive policies , given still substantial output gaps and below-target inflation",,
20150209_1_30_1_3,can let,,
20150209_1_29_1_1,Many exporters,,
20150209_1_31_1_1,In economies,,
20150209_1_14_2_2,unless they translate into second round effects in wage and price settings for example a persistent decline in longer term inflation expectations,0,0
20150209_1_30_1_4,"fiscal deficits increase temporarily and draw on these funds to allow for a more gradual adjustment of public spending for example , Saudi Arabia",0,0
20150209_1_12_1_1,This suggests,,
20150209_1_2_1_1,"Fiscal policy should be growth friendly , including by increasing infrastructure investment",-9,-9
20150209_1_15_1_2,which is currently expected around mid-2015,,
20150209_1_19_1_1,"Following a long period of low rates , excessive risk-taking may have built in some sectors credit booms in a number of smaller advanced economies and the underpricing of risks in certain segments of United States financial markets",,
20150209_1_3_1_1,"In many emerging market economies , macroeconomic policy space",0,0
20150209_1_13_1_1,The unbalanced recovery across economies suggests,0,0
20150209_1_11_1_2,"that further declines in inflation , even if temporary , may lead to additional downdraft in inflation expectations and rising real interest rates",0,0
20150209_1_21_1_1,"It will also make systemic institutions more resilient , help contain pro-cyclical asset price and credit dynamics , and cushion",,
20150209_1_13_1_2,"that low inflation would pose challenges to central banks , although to a different degree",0,0
20150209_1_27_1_1,"Some economies Brazil , India , South Africa , Turkey need to maintain the course of fiscal consolidation , given large fiscal deficits and high inflation in some cases , and high external borrowing",-9,-9
20150209_1_7_1_1,There is an urgent need for structural reforms to raise potential output in both advanced and emerging economies,0,0
20150209_1_32_1_1,Some will have to strengthen their monetary frameworks to avert the possibility,0,0
20150209_1_35_1_1,"The recent additional monetary easing is welcome ,",,
20150209_1_12_1_2,"that central banks should be particularly vigilant to signs of pass-through from oil prices to core inflation ,",-9,-9
20150209_1_25_1_1,"The scope to do so will require credible macroeconomic policies and frameworks ,",0,0
20150209_1_25_1_2,which has proven essential in coping with volatile financial conditions in the past,0,0
20150209_1_31_1_2,"where adjustment is unavoidable , allowing exchange rate depreciation will be a critical buffer to cushion the impact of the shock for example , Russia ,",,
20150209_1_22_1_1,International cooperation is needed to achieve more orderly resolution across borders and consistent regulatory frameworks and supervision,0,0
20150209_1_8_1_1,"While lower oil prices should boost domestic demand , accommodative monetary conditions remain essential in most advanced economies , given still sizable output gaps",1,1
20150209_1_35_2_1,further progress is needed in addressing structural weaknesses and improving the quality of fiscal adjustment,,
20150209_1_33_1_1,Efforts to increase revenue mobilization and improve expenditure prioritization should continue,0,0
20150209_1_24_1_2,than otherwise required,,
20150209_1_10_1_1,The boost to demand from lower oil prices is thus welcome,0,0
20150209_1_11_1_1,Central banks should be mindful,0,0
20150209_1_20_1_1,Deploying macro-prudential tools to limit financial risks,,
20121105_1_20_1_1,"Nevertheless , some countries in Asia and Latin America face late-cycle credit risks as nonperforming loans have started to turn up ,",-9,-9
20121105_1_22_1_2,as the recovery proceeds,0,0
20121105_1_5_1_1,"Circumstances vary across emerging markets ,",,
20121105_1_3_1_1,and targeted structural reform,-9,-9
20121105_1_8_1_2,if needed,0,0
20121105_1_6_1_2,"if done properly , would help resolve their internal imbalances",0,0
20121105_1_9_1_2,for them and their banks provided via the ESM would relieve funding pressures and break the adverse feedback loops between sovereigns and banks,0,0
20121105_1_19_2_2,if downside risks materialize given the receding inflation pressures,0,0
20121105_1_18_1_2,"their policies might have , for instance on sovereign-bank linkages , corporate leverage , and financial innovation as well as external spillovers",,
20121105_1_7_1_1,"In the euro area , robust action and follow-through are required on multiple fronts",,
20121105_1_11_1_1,"Anti- crisis measures need to be anchored by a vision of as well as a reasonably fast and tangible progress toward a more complete monetary union , supported by a banking union and greater fiscal integration",-9,-9
20121105_1_16_1_1,"In the United States , improving the transmission of the monetary easing",0,0
20121105_1_16_1_2,would require resolution of the household debt overhang,0,0
20121105_1_6_1_1,"Continued demand rebalancing from deficit to surplus economies would strengthen global growth and ,",0,0
20121105_1_13_1_1,"Central banks have been at the forefront of the policy response to the recent global slowdown , and should continue supporting the recovery ,",0,0
20121105_1_13_1_2,"while managing risks to price stability In advanced economies , monetary policy should remain very accommodative and central banks should stand ready to do more if needed",1,1
20121105_1_21_1_1,"Some countries for example , Argentina and India should remain watchful of inflationary pressures and can not afford to lower interest rates further",0,0
20121105_1_4_1_1,"In the euro area building on OMT and ESM activation , further action is also needed to strengthen banks , address structural shortcomings and complete EMU",0,0
20121105_1_5_2_1,"many should act to restore fiscal buffers over time , use monetary policy to guard against downside risks , and rely on macro-prudential measures to safeguard financial stability",,
20121105_1_24_1_2,space is available may be the appropriate tool in such cases .,,
20121105_1_18_1_1,Central banks should also carefully monitor unintended consequences,0,0
20121105_1_12_1_1,Monetary policy should continue to aid recovery,0,0
20121105_1_17_1_2,the transmission channel requires addressing counterparty risk in the interbank market and the redenomination risk,,
20121105_1_19_2_1,many can afford to stay on hold or ease,,
20121105_1_17_1_1,"In the euro area , restoring",,
20121105_1_19_1_1,"Policy requirements differ vastly among emerging economies ,",,
20121105_1_20_1_2,which constrains space for financial policies,-9,-9
20121105_1_2_1_1,durable medium-term fiscal adjustment,-9,-9
20121105_1_24_1_1,"If needed to support demand , fiscal policy provided",,
20121105_1_9_1_1,and support,0,0
20121105_1_8_1_1,Sovereigns under stress need to continue to adjust and request appropriate EFSF/ESM support,0,0
20121105_1_1_1_1,The main challenge for policymakers is to act forcefully to address downside risks with strong policy implementation,0,0
20121105_1_10_1_1,"Meanwhile , the ECB 's commitment to act on secondary markets via the OMT is critical to address elevated risk premia due to convertibility concerns within the euro area ,",0,0
20121105_1_22_1_1,"In Brazil , policymakers should stand ready to start unwinding monetary stimulus",-1,1
20121105_1_23_1_3,where currencies are undervalued,0,0
20121105_1_10_1_2,while maintaining a very accommodative monetary policy should support demand,0,0
20121105_1_23_1_1,Room for monetary easing may also be limited,0,1
20121105_1_15_1_1,The effectiveness of the easing in Japan would be enhanced by broadening asset purchases to include more equities and corporate bonds and government bonds with longer maturities and by simultaneously adopting broad structural and fiscal reforms to achieve a sustained recovery,0,0
20121105_1_22_1_3,in order to securely anchor inflation expectations,0,0
20121105_1_23_1_2,where a strong credit expansion continues or,0,0
20121105_1_14_1_1,"In Japan , further monetary easing may also be needed to reach the 1 percent inflation goal",1,1
20171006_1_5_1_1,Many countries would benefit from a more growth-friendly budget composition,-9,-9
20171006_1_1_1_1,"To safeguard the current growth momentum , the macroeconomic policy mix should be adjusted to changing circumstances",0,0
20171006_1_4_1_2,because of particularly high levels of public debt or other concerns consolidation efforts should be gradual and as growth-friendly as possible,,
20171006_2_2_1_2,while the pace of normalization in the United States,0,0
20171006_4_3_1_2,"where fiscal policy directly supports infrastructure investment for example , Germany , it will raise productivity and the growth potential in the future , enhancing sustainability",,
20171006_3_4_1_1,Private debt and financial vulnerabilities require attention,0,0
20171006_3_2_1_1,"While macroeconomic policies are but one determinant of the current account , they have contributed to maintain excess imbalances ,",0,0
20171006_2_2_1_3,"which is reaching full employment should continue to be gradual and data-dependent , alongside well communicated plans for the Federal Reserve 's balance sheet",,
20171006_1_2_1_2,"which have fiscal space should support growth with all available tools ,",0,0
20171006_1_2_1_1,"Following the IMF 's Article IV policy advice , countries with negative output gaps",0,0
20171006_1_3_1_1,7 In some advanced economies,,
20171006_4_4_1_4,which are particularly relevant for European G-20 members but also several emerging economies see next section,,
20171006_3_3_1_1,"With monetary policy set to remain appropriately supportive , this will be helped by the recommended use of fiscal space for example , to raise potential growth or reduce still-open output gaps in G-20 excess surplus economies such as Germany and Korea and gradual fiscal consolidation in excess deficit countries United Kingdom , United States",,
20171006_1_6_1_1,"In countries facing too-low growth and too-high inflation , macroeconomic policies will have to weigh possible trade-offs",,
20171006_2_2_1_1,"In most advanced economies , monetary policy is expected to remain appropriately accommodative ,",0,0
20171006_4_4_1_3,"that raise labor supply ,",0,0
20171006_4_4_1_1,"Second , additional short-term demand support from fiscal policies",,
20171006_4_5_1_1,"Finally , to the extent",,
20171006_2_3_1_1,"By contrast , most emerging economies are projected to maintain neutral or somewhat contractionary monetary stances , suitably contributing to bring or keep inflation in line with central bank targets .",-9,-9
20171006_4_5_1_2,"that fiscal and monetary policies are adjusted to make growth more balanced and reduce vulnerabilities , they will also decrease the risk of crisis , and thereby , make growth more lasting and sustainable .",,
20171006_4_2_1_1,At least three effects are at work,-9,-9
20171006_3_7_1_2,if core inflation picks up,0,0
20171006_4_3_1_1,"First ,",,
20171006_3_1_1_1,External rebalancing should continue,0,0
20171006_3_8_1_1,"In many countries , macroprudential policies should be used to address corporate and bank vulnerabilities by reducing the buildup of leverage or strengthening buffers .",-9,-9
20171006_1_2_1_3,while those with closed output gaps should withdraw short-term fiscal stimulus and calibrate monetary policy to inflation developments,,
20171006_3_2_1_2,which illustrates the benefits of recalibrating the policy mix across both surplus and deficit countries see IMF 2017 External Sector Report,0,0
20171006_3_7_1_1,"China should build on recent efforts to address financial vulnerabilities by continuing regulatory/supervisory tightening , greater recognition of bad assets , more market-based credit allocation , and gradually reducing monetary policy accommodation",-1,1
20171006_3_5_1_1,"Addressing corporate and bank vulnerabilities is a priority in many G-20 countries , including in several emerging economies and the euro area ,",,
20171006_3_5_1_2,where the structural overcapacity of the financial sector elevates operation costs and reduces profitability,0,0
20171006_3_6_1_1,"This task requires a faster recognition of non-performing assets , stronger bank capital buffers , and better corporate debt restructuring mechanisms",,
20171006_1_4_1_1,Where fiscal space is a constraint for example,,
20171006_1_3_1_2,"that have fiscal space and are operating at or close to capacity , additional spending could boost potential growth and create positive transitional spillovers for others",,
20171006_4_4_1_2,"where output gaps are negative can accelerate the benefits of certain structural reforms , such as measures",0,0
20171006_2_1_1_1,Monetary policy stances are generally aligned with IMF recommendations,0,0
20171006_1_7_1_1,Emerging economies still adjusting to the lower commodity price environment should avoid expansionary fiscal policies and focus on fostering longer-term adjustment instead .,-9,-9
20171006_4_1_1_1,the proposed adjustments to the policy mix would also contribute to more sustainable growth,0,0
20091107_1_1_1_1,The overall pace of policy adjustment and removal of financial support will depend on the strength of recovery in private demand in each country and enduring financial stability,0,0
20091107_1_21_1_3,that have long-term effects,-9,-9
20091107_1_24_1_4,"that credit markets remain impaired , monetary tightening may need to be led by a raising of policy rates",0,0
20091107_1_5_1_2,that have long-term effects but,,
20091107_1_8_1_1,"Forceful fiscal and monetary stimulus and financial sector support have helped ease financial stress and played an important role in supporting activity , but may need to be maintained for some time",0,0
20091107_1_5_1_3,that do not affect the economic recovery in the short-term such as entitlement reforms should thus be implemented soon to enhance credibility,,
20091107_1_18_1_2,"if there are signs of rising inflation or incipient financial vulnerabilities , including credit booms",0,0
20091107_1_9_1_3,particularly if the financial system remains vulnerable and prone to adverse shocks,0,0
20091107_1_16_1_1,fiscal stimulus longer than needed has obvious and immediate consequences for debt accumulation,0,0
20091107_1_17_1_1,"In many advanced economies , monetary policy can afford to remain accommodative for an extended period , given subdued price pressures",0,0
20091107_1_23_1_2,monetary policy measures does not necessarily constrain increases in policy rates,0,1
20091107_1_7_1_1,The principles laid out below are intended to establish common ground for the design and implementation of policies during the exit from extraordinary support measures taken during the crisis,0,0
20091107_1_27_1_2,even while central bank balance sheets continue to provide support to some markets .,0,0
20091107_1_9_1_2,"that withdrawing policy stimulus too early can be very costly ,",0,0
20091107_1_14_1_1,Deficit-reducing and debt management measures should commence as soon,,
20091107_1_2_1_1,This suggests,,
20091107_1_15_1_1,This is advisable considering both the relative scales of policy adjustment required and managing risks to both economic and financial recovery,0,0
20091107_1_25_1_2,that are already witnessing relatively vigorous rebounds of activity,0,0
20091107_1_21_1_1,This suggests,,
20091107_1_20_1_1,"The scale of fiscal adjustment required to ensure fiscal sustainability will be large , particularly in advanced economies",0,0
20091107_1_22_1_1,Unconventional monetary policy does not necessarily have to be unwound before raising policy rates,-9,-9
20091107_1_24_1_1,"Indeed , policy rates may need to rise",-1,1
20091107_1_15_1_3,that adjustment is a key priority,0,0
20091107_1_26_1_1,Monetary authorities have instruments to maintain control over interest rate policy,0,0
20091107_1_2_1_3,although coordination on some specific fronts is desirable,0,0
20091107_1_21_1_4,but that do not affect the economic recovery in the short term such as entitlement reforms and strengthening fiscal frameworks and institutions should be implemented soon to enhance credibility,-9,-9
20091107_1_19_1_1,The challenges of placing fiscal policy on a sustainable path both political and economic are greater than for normalizing monetary policy,0,0
20091107_1_27_1_1,"This includes paying interest on excess reserves ,",0,0
20091107_1_24_1_3,"monetary policy stimulus is fully withdrawn In particular , to the extent",,
20091107_1_12_1_2,when fiscal retrenchment begins,0,0
20091107_1_4_1_1,"The scale of fiscal adjustment required is large to ensure debt sustainability and to restore room for policy maneuver , particularly in advanced economies",0,0
20091107_1_21_1_2,that fiscal policy changes,-9,-9
20091107_1_24_1_2,before unconventional,,
20091107_1_6_1_1,"Current differences in monetary policy conditions could give rise to larger capital inflows to emerging market countries , accentuating the need for policies to encourage rebalancing the global sources of demand",0,0
20091107_1_23_1_1,Maintaining unconventional,0,0
20091107_1_3_1_1,"For most countries , fiscal consolidation should be a top priority , with monetary policy able to adjust more flexibly to achieve a desired level of overall stimulus",0,0
20091107_1_11_1_1,Achieving fiscal sustainability will be a complex process and will take longer than normalizing monetary policy,-9,-9
20091107_1_9_1_1,One of the key lessons from experiences of similar crises is,0,0
20091107_1_18_1_1,"In a number of emerging economies , by contrast , monetary policy may have to tighten sooner and might therefore be more synchronous with or even lead fiscal consolidation",-1,1
20091107_1_5_1_1,Fiscal reforms,,
20091107_1_25_1_1,"This is becoming increasingly relevant for many emerging economies , notably in Asia ,",0,0
20091107_1_12_1_1,"Monetary policy can respond more quickly to achieve the desired level of overall stimulus ,",0,0
20091107_1_13_1_1,The strategy for fiscal consolidation should be outlined and communicated now,0,0
20091107_1_10_1_1,Further advancing the process of financial restructuring and balance sheet repair including bank recapitalization remains a priority to achieve a healthy financial system,0,0
20091107_1_15_1_2,"For most countries , the risks presented by keeping stimulus in place too long suggest",0,0
20091107_1_2_1_2,"that the timing of exits will be country specific ,",,
20091107_1_14_1_2,as private demand begins recovering,0,0
20100227_1_13_1_1,"Achieving fiscal sustainability will be a difficult and prolonged process , making it imperative for consolidation to begin as soon",0,0
20100227_1_14_1_1,"Given a path for fiscal policies , monetary policy can be set to achieve a desired level of overall stimulus , tightening",0,1
20100227_1_25_1_1,"The policy response would be to lower interest rates , thus reducing incentives for inflows , and to tighten fiscal policy particularly",1,1
20100227_1_12_1_1,"Hence , on balance fiscal consolidation should generally take priority , all else given",0,0
20100227_1_26_1_3,"interest rates is not an attractive policy option ,",0,0
20100227_1_5_1_1,exits in emerging economies with excessive current account surpluses should be accompanied by exchange rate appreciation,,
20100227_1_26_1_1,"However ,",,
20100227_1_11_1_2,while a monetary tightening will contribute to a worsening of the fiscal position,0,0
20100227_1_6_1_1,Fiscal consolidation in major advanced economies will also mean,-9,-9
20100227_1_18_2_1,"where financial stability remains fragile , or key markets are not yet functioning , central banks may need to maintain crisis-intervention measures or possibly introduce new targeted ones , even within the context of an overall tightening of the monetary policy stance",,
20100227_1_4_1_2,that would bolster domestic demand,0,0
20100227_1_20_1_1,"In economies with broadly balanced external positions , monetary tightening may be complicated ,",0,0
20100227_1_16_1_1,"The crisis compelled central banks to employ a wide range of crisis-intervention measures , in many cases unprecedented",,
20100227_1_17_2_1,there will be challenges,,
20100227_1_7_1_2,"is a key priority and policy challenge , notably in light of the surge in government debt levels",-9,-9
20100227_1_3_1_1,To facilitate rebalanced global growth : advanced economies with large current account deficits should transition towards measures to raise savings,0,0
20100227_1_15_2_1,central banks need to prepare and clearly communicate credible strategies for unwinding the extraordinary monetary policy support,,
20100227_1_21_1_2,while maintaining measures aimed at mitigating the social impact of the crisis,0,0
20100227_1_19_1_2,"where tightening has begun and ahead of fiscal consolidation , owing to rising inflation or incipient financial vulnerabilities",-9,-9
20100227_1_10_1_1,"the most important risk from this policy stance in the current low inflationary environment is the potential for liquidity spillovers , particularly to domestic asset markets and emerging economies",0,0
20100227_1_14_1_2,as needed to counter inflationary risks and maintain price stability,0,0
20100227_1_7_1_1,"In most advanced G-20 economies , ensuring fiscal sustainability",-9,-9
20100227_1_21_1_1,These economies may have to consider tightening their fiscal stance more quickly,0,0
20100227_1_6_1_2,that emerging economies will have to rely less on external sources of demand to support growth,-9,-9
20100227_1_20_1_2,as it could amplify exchange rate pressures,0,0
20100227_1_11_1_1,"Also , a tightening of the fiscal stance may help monetary and debt management ,",0,0
