,sentence,fiscal_stance,fiscal_analysis,economic_condition,monetary_policy,other_policies,risk
606,fiscal policy be supportive condition allow credible plan reduce public debt ratio longer run be put place,1,0,0,0,0,0
607,public debt level be historic high,0,1,0,0,0,0
608,fiscal consolidation remain growth friendly be anchor credible medium term plan support well-designed fiscal framework,1,0,0,0,0,0
609,protect vulnerable,0,0,0,0,1,0
610,United States priority remain agree medium-term fiscal consolidation plan prepare rise aging-related cost include higher tax revenue,1,0,0,0,0,0
611,recent congressional passage two-year budget include suspend debt ceiling be critical step support economy,0,1,0,0,0,0
612,euro area country adhere commitment EU fiscal rule,1,0,0,0,0,0
613,fiscal space Germany Netherlands do more encourage growth much-needed public infrastructure investment support structural reform,1,0,0,0,0,0
614,Japan announce medium-term fiscal consolidation plan provide useful anchor guide fiscal policy,0,1,0,0,0,0
615,aim be put debt downward path base realistic assumption identify specific revenue expenditure measure,0,1,0,0,0,0
616,Raising actual potential output combination demand support structural reform remain key policy objective,0,0,0,0,1,0
617,advanced economy accommodative monetary policy remain essential,0,0,0,1,0,0
618,fiscal policy be supportive condition allow credible medium-term budget plan be put place,1,0,0,0,0,0
619,many emerge economy have limit scope monetary fiscal policy support growth inflation target economy fiscal position weaker desirable other,0,0,0,0,1,0
620,feasible exchange rate flexibility serve shock absorber temporary role intervention capital flow management measure market condition turn disorderly,0,0,0,0,1,0
621,Joint effort deficit surplus economy rebalance global demand reduce excess external imbalance sustain growth,0,0,0,0,1,0
622,help China difficult transition reduce tail risk facilitate stronger durable global growth,0,0,0,0,1,0
623,collective effort be require enhance global safety net strengthen International Monetary System,0,0,0,0,1,0
624,avoid over-reliance monetary policy near-term fiscal policy support recovery appropriate provide be fiscal space focus investment,1,0,0,0,0,0
625,public debt be high commitment credible medium-term consolidation plan create policy space,0,1,0,0,0,0
626,necessary fiscal consolidation remain growth-friendly support policy foster innovation productivity protect vulnerable,1,0,0,0,0,0
627,United States recent bipartisan fiscal agreement be important positive step further fiscal effort be need stabilize debt-to-gdp ratio medium term interest rate increase demographic transition intensify,1,0,0,0,0,0
628,early agreement credible medium-term deficit reduction provide space fund investment infrastructure raise productivity innovation enhance worker skill,1,0,0,0,0,0
629,euro area country fiscal space do more support growth example infrastructure investment Germany,1,0,0,0,0,0
630,Swift implementation expansion EU scheme provide public private investment raise growth short medium term have positive spillover region,0,1,0,0,0,0
631,temporary cost relate refugee expenditure be accommodate compatibility current fiscal target assess case-by-case basis,0,1,0,0,0,0
632,Japan commitment fiscal consolidation center pre-announced path gradual consumption tax hike strengthening fiscal institution create near-term policy space maintain growth momentum,0,1,0,0,0,0
633,short-term demand support have important part play advanced economy need greater emphasis growth-friendly fiscal policy,1,0,0,0,0,0
634,Policy framework,0,0,0,0,1,0
635,strong fiscal framework ensure sustainability longer term couple fiscal reform help increase safeguard policy space short run example United States Japan,0,1,0,0,0,0
636,United States achieve sustained downward medium-term path public debt require comprehensive reform tax system pension reform healthcare cost containment,0,1,0,0,0,0
637,Japan pre-announcement gradual path consumption tax hike be need,1,0,0,0,0,0
638,euro area priority be make full use flexibility exist rule,0,1,0,0,0,0
639,medium term stricter enforcement simplify stability growth Pact make effective,0,0,0,0,1,0
640,be strong case expand centralized fiscal support,0,1,0,0,0,0
641,majority advanced country output gap remain negative weak labor market threaten scar young workforce inflation be low target,0,0,1,0,0,0
642,monetary policy be become overburdened domestic policy coordination help make macroeconomic support effective,0,0,0,0,1,0
643,require broad-based approach combine available policy tool strong policy framework anchor fiscal monetary policy long run allow effective demand management short run,0,0,0,0,1,0
644,fiscal policy,0,0,0,0,1,0
645,monetary policy space be narrow be fiscal space fiscal policy help support demand close output gap include measure strengthen growth medium long term example Canada Korea necessary facilitate balance sheet repair,1,0,0,0,0,0
646,most country be important adjust expenditure priority finance reform increase potential output example Germany,0,1,0,0,0,0
647,euro area use centralized investment fund support infrastructure investment country fiscal space be appropriate,0,1,0,0,0,0
648,coordinate use fiscal space be beneficial global outlook weaken,0,0,0,0,1,0
649,higher inclusive growth require forceful comprehensive policy,0,0,0,0,1,0
650,other helpful measure include adjust composition spending public investment move revenue structure indirect other tax detrimental growth,0,1,0,0,0,0
651,number country be appropriate devote fiscal resource reduce private sector debt overhang repair financial sector balance sheet,0,0,0,0,1,0
652,multiple interdependent factor hold growth policymaker have work necessary lever structural policy include promote financial stability trade fiscal policy monetary policy,0,0,0,0,1,0
653,depend country need comprehensive action combine structural reform demand support anchor coherent well-communicated policy framework,0,0,0,0,1,0
654,interest rate be effective lower bound fiscal policy play larger role,1,0,0,0,0,0
655,same time policymaker raise confidence explain citizen benefit reform necessary provide effective support shoulder burden adjustment,0,1,0,0,0,0
656,effort advance global trade integration lower financial stability risk address geopolitical spillover remain vital,0,0,0,0,1,0
657,monetary policy operate lower bind growth-friendly fiscal policy have important role play,1,0,0,0,0,0
658,strategy deploy available tool counter damaging perception policy space use individual instrument be limit,0,0,0,0,1,0
659,take advantage current low interest rate environment depend availability fiscal space be case more public investment,1,0,0,0,0,0
660,reinforce growth momentum require right mix demand support supply reform,0,0,0,0,1,0
661,advance economy inflation remain target supportive monetary policy stance be maintain rely unconventional measure need example euro area Japan,0,0,0,1,0,0
662,United States monetary policy normalization continue be gradual datum drive,0,0,0,1,0,0
663,economy operate full capacity such United States Germany fiscal support be orient increase potential output instance investment high-quality infrastructure include social infrastructure such education health childcare,1,0,0,0,0,0
664,Germany higher public investment contribute reduce high current account balance surplus,0,0,0,0,1,0
665,economy insufficient demand available fiscal space fiscal policy support short-term growth focus boost supply potential economy,1,0,0,0,0,0
666,emerge economy face diverse cyclical position emphasis be enhance resilience discuss,0,0,0,0,1,0
667,exploit synergy short-term support structural reform be crucial fiscal space be limited monetary policy operate effective lower bind,0,0,0,0,1,0
668,such case combination temporary macroeconomic support well-anchored credible medium-term policy framework growth-enhancing structural reform deliver more sum part,0,0,0,0,1,0
669,country fiscal adjustment be need consolidation be gradual possible,1,0,0,0,0,0
670,structural reform prioritize lower-cost measure have beneficial impact public finances medium term,0,0,0,0,1,0
671,United States monetary policy continue normalize remain datum dependent,0,0,0,1,0,0
672,plan Fed balance sheet be well-communicated,0,0,0,1,0,0
673,fiscal policy ensure ratio debt GDP be downward path support longer-term potential economy,1,0,0,0,0,0
674,ongoing IMF work country experience suggest use digital technology hold potential better target efficient fiscal policy ensure reduction spending leakage greater transparency,0,0,0,0,1,0
675,contrast inflation be central bank target output gap remain negative monetary policy stay supportive Japan euro area available fiscal space be use provide further additional support,1,0,0,0,0,0
676,expansionary fiscal stance Germany allow much-needed increase public investment raise potential output support external adjustment same time have positive spillover other euro area economy be cyclical slack,1,0,0,0,0,0
677,country fiscal adjustment be need avoid destabilizing debt dynamics rebuild policy buffer consolidation be appropriate be support growth-friendly measure example Italy,1,0,0,0,0,0
678,tradeoff occur fiscal policy play mitigating role,0,1,0,0,0,0
679,fiscal space be available fiscal policy help foster innovation structural change labor product service market include demand support certain reform,0,1,0,0,0,0
680,fiscal policy ease adjustment affect technological change increase economic integration example job counseling retrain apprenticeship program youth support life-long learning measure area such housing credit infrastructure increase mobility,0,1,0,0,0,0
681,protect vulnerable better-target social safety net finance design progressive tax,0,1,0,0,0,0
682,country limited fiscal space provide support budget neutral manner example use savings unemployment benefit reform improve job training program,0,1,0,0,0,0
